lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr
Facture	SUBST	bill	charge	Rechnung	Kostenforderung	facture	note	mir waarde scho sechs Wochen op dem Schräiner seng Facture 	FACTURE1UNI1	an itemized statement of money owed for goods shipped or services rendered	0.2996715307235718				
Facture	SUBST	bill	document	Rechnung	Dokument	facture	document	hal d'Facture , am Fall wou s de den Artikel awer wëlls ëmtauschen! 	FACTURE1UNI2	a piece of paper money (especially one issued by a central bank)	0.3383824825286865				
fad	ADJ	tasteless		fade	geschmacklos	fade	sans goût	d'Zopp ass fad , maach nach e bësse Salz dran! 	FAD1UNI1			geschmacklos	1.000000238418579		
fad	ADJ	dull		fade	langweilig	fade	ennuyeux	däi Cousin ass e fade Kärel 	FAD1UNI2			geschmacklos	0.5366452932357788		
fäerdeg	ADJ	finished		fertig	vollendet	terminé		d'Leit waarde gespaant op de fäerdege Projet 	FAERDEG1UNI1			beendet oder zur Vollendung gelangt sein	0.6263415217399597		
fäerdeg	ADJ	ready	prepared	fertig	bereit	prêt		ruff mech, wann d'Iesse fäerdeg ass! 	FAERDEG1UNI3	completely prepared or in condition for immediate action or use or progress	0.5224648118019104				
Faibel	SUBST	weakness	liking	Schwäche		faible	penchant	ech hat nach ëmmer e Faibel fir séier Autoen 	FAIBEL1UNI1	a penchant for something even though it might not be good for you	0.22140389680862427				
Faïencerie	SUBST	pottery	workshop, factory	Steingutfabrik		faïencerie	fabrique de faïence	an der Faïencerie gëtt de Parzeläin deelweis nach op der Hand bemoolt 	FAIENCERIE1UNI1	a workshop where clayware is made	0.6822197437286377				
fair	ADJ	fair	just	fair		juste	équitable, loyal	all Mënsch soll eng fair Chance op Bildung kréien 	FAIR1UNI1	not excessive or extreme	0.1947108507156372				
Fake	SUBST	fake	object, claim	Fake		faux		op deem Dating-Portal ass bestëmmt all drëtte Profil e Fake 	FAKE1UNI1	something that is a counterfeit; not what it seems to be	0.3005441725254059				
faken	VRB	to fake	in order to deceive	faken		bidonner	pour bluffer	de Journalist huet zouginn, datt en dëse Reportage gefaked huet 	FAKEN1UNI1	tamper, with the purpose of deception	0.5664905905723572				
Fakultéit	SUBST	faculty	college, university	Fakultät	Hochschulabteilung	faculté	d'une université	op der Universitéit huet all Fakultéit hir eege Fachbibliothéik 	FAKULTEIT1UNI1	the body of teachers and administrators at a school	0.31833702325820923				
Fal	SUBST	wrinkle		Falte	Hautfalte	ride		dee Mann hat scho fréi d'Gesiicht voller Falen 	FAL2UNI2			ein gefalteter Teil (wie bei der Haut oder dem Muskel)	0.6019731163978577		
faleloossen	VRB	to drop		fallenlassen	aufgeben	abandonner		aus budgetäre Grënn huet d'Gemeng de Projet vun enger oppener Schwämm falegelooss 	FALELOOSSEN1UNI1			Einem Zustand oder einer Aktivität ein Ende setzen.	0.5520387887954712		
faleloossen	VRB	to drop	a person	fallenlassen		laisser tomber	une personne	esoubal hie politesch net méi aktiv war, hu vill vu senge sougenannte Kolleegen e falegelooss 	FALELOOSSEN1UNI2	to fall vertically	0.23066742718219757				
faleloossen	VRB	to drop	a comment	fallenlassen	äußern	faire	une remarque, un commentaire	looss wannechgelift keng esou eng domm Remark falen , wann herno eis Gäscht do sinn! 	FALELOOSSEN1UNI3	lose (a game)	0.2832445502281189				
falen	VRB	to fall	to drop	fallen	herabfallen	tomber	vers le bas, vers le sol	pass op, d'Äsche vun denger Zigarett falen op de Buedem! 	FALEN1UNI1	fall from clouds	0.43963637948036194	absinken oder ausfallen	0.7593675851821899		
falen	VRB			fallen	herabhängen	tomber	pendre	d'Hoer falen him ëmmer an d'Gesiicht 	FALEN1UNI13			gefangen werden	0.5093735456466675		
falen	VRB	to fall	light, shadow	fallen	Licht, Schatten	tomber	lumière, ombre	duerch déi faarweg Fënster fält nëmme wéineg Luucht 	FALEN1UNI3	fall from clouds	0.37198665738105774				
falen	VRB	to fall	to occur, to take place	fallen	stattfinden	tomber	avoir lieu	Chrëschtdag fält dëst Joer op e Sonndeg 	FALEN1UNI4	occur at a specified time or place	0.5977581739425659	herauskommen; herauskommen	0.5793730020523071		
falen	VRB	to fall	to be decided	fallen	Entscheidung	tomber	être pris, être décidé	eis Entscheedung fält nach dës Woch 	FALEN1UNI5	die, as in battle or in a hunt	0.2479776293039322				
falen	VRB	to fall	to die	fallen	sterben	tomber	mourir	mäi Bop ass am leschte Krich gefall 	FALEN1UNI6	die, as in battle or in a hunt	0.518965482711792				
falen	VRB	to fall	to sink	fallen	sinken	baisser	décroître, diminuer en valeur	de Waasserpeegel ass gefall 	FALEN1UNI7	be cast down	0.4243760108947754	absinken oder ausfallen	0.7112146615982056		
falen	VRB	to fold (up)	washing	falten	zusammenlegen	plier	mettre en double	d'Mamm huet d'Wäsch gefaalt an an de Schaf geluecht 	FALEN2UNI1			zusammenfalten oder zusammendrücken	0.667384147644043		
Fall	SUBST	case	situation	Fall	Situation, Umstand, Angelegenheit	cas	situation, circonstance, affaire	an deem Fall musst Dir eng schrëftlech Reklamatioun erareechen 	FALL1UNI1	a special set of circumstances	0.46803829073905945	die Sache, der Fall	0.6480932831764221		
Fall	SUBST	case	of a person	Fall	einer Person	cas	d'une personne	den Dokter hat haut e puer Fäll mat deene selwechte Symptomer 	FALL1UNI2	a person of a specified kind (usually with many eccentricities)	0.5123538970947266				
Fall	SUBST	case	criminal case	Fall	Kriminalfall	affaire policière		déi béid Fäll sinn nach ëmmer net opgekläert 	FALL1UNI3	a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy	0.5121337175369263	die Sache, der Fall	0.6293737292289734		
Fall	SUBST	case	grammatical	Fall	grammatikalisch	cas	grammatical	am Lëtzebuergesche gëtt et dräi gebräichlech Fäll : den Nominativ, den Akkusativ an den Dativ 	FALL1UNI5	an occurrence of something	0.2871866524219513				
fälleg	ADJ	due	payable	fällig	zahlbar	exigible	à échéance	Enn der Woch ass de Loyer fälleg 	FALLEG1UNI2	owed and payable immediately or on demand	0.5736480951309204	geschuldet und zahlbar sofort oder auf Verlangen	0.6373782157897949		
Fällegkeetsdatum	SUBST	deadline	for a payment	Fälligkeitsdatum		(date d')échéance		ënnen op der Rechnung steet de Fällegkeetsdatum 	FALLEGKEETSDATUM1UNI1	the point in time at which something must be completed	0.24820759892463684				
Fallek	SUBST	falcon	bird	Falke	Vogel	faucon	oiseau	an arabesche Länner ginn d'Falleke fir d'Juegd dresséiert 	FALLEK1UNI1	diurnal birds of prey having long pointed powerful wings adapted for swift flight	0.5140519142150879			diurnal bird of prey typically having short rounded wings and a long tail	0.5303888320922852
Fallschiermspréngerin	SUBST	parachutist	female	Fallschirmspringerin		parachutiste	femme	virun hirem éischte Sprong war et der Fallschiermspréngerin net geheier 	FALLSCHIERMSPRENGERIN1UNI1	a person who jumps from aircraft using a parachute	0.23598235845565796				
falsch	ADJ	wrong	incorrect	falsch	nicht richtig	faux	incorrect, inexact, erroné	déi Rechnung ass falsch 	FALSCH1UNI1	not correct; not in conformity with fact or truth	0.46205809712409973	Gegenteil von richtig, tatsächlich anders	0.6536650061607361		
falsch	ADJ	false		falsch	unaufrichtig, hinterhältig	sournois		wéi kann een nëmmen esou falsch sinn! 	FALSCH1UNI2			nicht authentisch, nicht der Wahrheit entsprechend, nicht echt	0.603422999382019		
falsch	ADJ	false	unrealistic, mistaken	falsch	unbegründet	faux	injustifié	maach der keng falsch Hoffnungen! 	FALSCH1UNI3	not in accordance with the fact or reality or actuality	0.4387943148612976				
falsch	ADJ	false	artificial, fake, counterfeit	falsch	künstlich, gefälscht	faux	artificiel, d'imitation, contrefait	zënter sengem Accident huet dee jonke Mann falsch Zänn 	FALSCH1UNI4	not genuine or real; being an imitation of the genuine article	0.6139519214630127	nicht authentisch, nicht der Wahrheit entsprechend, nicht echt	0.567231297492981	not genuine or real; being an imitation of the genuine article	0.6139518618583679
falsch	ADJ	wrong	inappropriate	falsch	verkehrt	mauvais	mal choisi, inapproprié	mir sinn op der Gare an de falsche Bus geklommen 	FALSCH1UNI6	not appropriate for a purpose or occasion	0.5433229207992554				
Fälscherin	SUBST	forger	female	Fälscherin		falsificatrice		déi vun der Police gesicht Fälscherin wollt nees e ganze Koup gefälschte Schäiner an Ëmlaf bréngen 	FALSCHERIN1UNI1	someone who makes copies illegally	0.2035970240831375				
Falschheet	SUBST	deceit		Falschheit	Unaufrichtigkeit	fausseté		mat senger Falschheet mécht en sech keng Frënn 	FALSCHHEET1UNI2			verachtenswerte Feigheit	0.5554978847503662		
familiär	ADJ	family	related to family	familiär	die Familie betreffend	familial	concernant la famille	aus familiäre Grënn huet eis Mataarbechterin dräi Deeg Congé geholl 	FAMILIAR1UNI1					relating to or having the characteristics of a family	0.6560863852500916
familiär	ADJ	familiar	close, intimate	familiär		détendu		mat de Joren huet sech tëschent den Noperen eng familiär Relatioun entwéckelt 	FAMILIAR1UNI2	having mutual interests or affections; of established friendship	0.4890688359737396				
Famill	SUBST	family	father, mother, child(ren)	Familie	Kernfamilie	famille	père, mère, enfant(s)	op der Spillplaz ware vill Famille mat klenge Kanner 	FAMILL1UNI1	a person having kinship with another or others	0.4766651391983032	eine Familie, die aus Eltern und ihren Kindern und Großeltern eines Ehepartners besteht	0.5766589045524597	the kinship relation between an individual and the individual's progenitors	0.5277459025382996
Famill	SUBST	family	relatives	Familie		famille	tous les membres	ech hu Famill an der Schwäiz 	FAMILL1UNI2	a person having kinship with another or others	0.5831224322319031			a person having kinship with another or others	0.5831223130226135
Fan	SUBST	fan	admirer	Fan		fan		ech sinn e grousse Fan vu schwaarzem Humor 	FAN1UNI1	an ardent follower and admirer	0.7735581398010254				
Fanatikerin	SUBST	fanatic	female	Fanatikerin		extrémiste	femme	eng richteg Fanatikerin bréngs de kaum mat sachlechen Argumenter vun hirer Meenung of 	FANATIKERIN1UNI1	a person motivated by irrational enthusiasm (as for a cause); --Winston Churchill	0.08940332382917404				
Fändel	SUBST	flag		Fahne	Flagge	drapeau	étendard	de Gesang huet fir säi Centenaire en neie Fändel kritt 	FANDEL1UNI1			jede markante Flagge	0.7149271368980408		
Fanfare	SUBST	band	village band, brass band	Blaskapelle		fanfare	formation musicale	ech spille Batterie an enger Fanfare 	FANFARE1UNI1	a group of musicians playing popular music for dancing	0.5181026458740234			a group of musicians playing only brass and percussion instruments	0.5968183279037476
Fang	SUBST	catch	of fish	Fang	Beute	prise	capture	mäi Papp ass mat engem grousse Fang vum Fëschen heemkomm 	FANG1UNI1	the quantity that was caught	0.4772823452949524				
Fanger	SUBST	finger	of the hand	Finger	der Hand	doigt	de la main	den Aarbechter huet sech mat der See e Fanger erofgeschnidden 	FANGER1UNI1	any of the terminal members of the hand (sometimes excepting the thumb)	0.6488686203956604	eines der Endglieder der Hand (manchmal mit Ausnahme des Daumens)	0.6316368579864502		
Fanger	SUBST	finger	of a glove	Finger	des Handschuhs	doigt	du gant	d'Fangere vu mengen Händsche si vir op 	FANGER1UNI2	one of the parts of a glove that provides covering for a finger or thumb	0.6253342628479004	eines der Teile eines Handschuhs, die einen Finger oder Daumen bedecken	0.7135216593742371	one of the parts of a glove that provides covering for a finger or thumb	0.6253342628479004
fänken	VRB	to catch	a person, an animal	fangen	einen Menschen, ein Tier	attraper	une personne, un animal	d'Zaldoten hunn dräi Partisane gefaangen 	FANKEN1UNI1	capture as if by hunting, snaring, or trapping	0.3014342188835144				
fannen	VRB	to find	by chance	finden	zufällig stoßen auf	trouver	tomber sur	ech hunn am Bësch eng Auer fonnt 	FANNEN1UNI1	come upon, as if by accident; meet with	0.33254683017730713	unerwartet finden	0.5925120115280151		
fannen	VRB	to find	by searching	finden	durch gezielte Bemühung	trouver	parvenir à trouver	esou fënns de ni eng Aarbecht! 	FANNEN1UNI2	come upon after searching; find the location of something that was missed or lost	0.44699156284332275				
fannen	VRB	to find	to feel, to think	finden	empfinden	trouver	estimer	ech hunn et net schlëmm fonnt , datt mir hu missen zu Fouss goen 	FANNEN1UNI3	perceive oneself to be in a certain condition or place	0.4381744861602783				
Fantasie	SUBST	imagination	mental creativity	Fantasie	Einbildungsvermögen	imagination	créativité mentale	fir e gudde Roman ze schreiwen, brauch ee vill Fantasie 	FANTASIE1UNI1	the ability to form mental images of things or events	0.5056436061859131			the ability to form mental images of things or events	0.5056436061859131
fantastesch	ADJ	fantastic		fantastisch	hervorragend	fantastique		d'Sängerin huet eng fantastesch Stëmm 	FANTASTESCH1UNI1			ausgezeichnet	0.7253593802452087		
Fantastin	SUBST	dreamer	female	Fantastin		rêveuse		lauschter net op seng Iddien, hatt ass eng Fantastin ! 	FANTASTIN1UNI1	someone who is dreaming	0.3412618935108185				
Farce	SUBST	farce	play	Farce		farce	pièce comique	eis Theatertrupp féiert dëst Joer eng Farce op 	FARCE1UNI1	a comedy characterized by broad satire and improbable situations	0.11827494204044342				
Farce	SUBST	stuffing	forcemeat	Farce	Füllung	farce	hachis	eise Metzler mécht eng extra Farce a seng Kallefsbrëschtchen 	FARCE2UNI1	a mixture of seasoned ingredients used to stuff meats and vegetables	0.14500176906585693				
Fasan	SUBST	pheasant	meat	Fasan	Fleisch	faisan	chair	um Banquet gouf et als Haaptplat Fasan mat Geméis a Gratin 	FASAN2UNI2	flesh of a pheasant; usually braised	0.5315001606941223				
Fäsch	SUBST	faggot	wood	Reisigbündel		fagot		säi Papp huet him bäibruecht, wéi een eng Fäsch bënnt 	FASCH1UNI1	a bundle of sticks and branches bound together	0.4504920542240143				
Faschistin	SUBST	fascist	female	Faschistin		fasciste	femme	d'Organisateure vum Event hunn eng Kënschtlerin erëm ausgelueden, wéi sech erausgestallt huet, datt se eng Faschistin wier 	FASCHISTIN1UNI1	an adherent of fascism or other right-wing authoritarian views	0.19549253582954407				
Fascicule	SUBST	fascicle	part of a book	Faszikel		fascicule		deen alen Dictionnaire ass an eenzele Fascicullen erauskomm 	FASCICULE1UNI1	an installment of a printed work	0.5157793164253235				
Faser	SUBST	fibre	thread	Faser		fibre		dës Matt besteet aus kënschtleche Faseren 	FASER1UNI1	any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)	0.2950051426887512				
Fassad	SUBST	facade	of a building	Fassade	eines Gebäudes	façade	d'un bâtiment	d'Noperen hu wëlles, hir Fassad rout usträichen ze loossen 	FASSAD1UNI1	the face or front of a building	0.7015105485916138	die Stirnseite oder Vorderseite eines Gebäudes	0.5323021411895752		
Fassad	SUBST	facade	mask, pretence	Fassade	trügerischer Anschein	façade	apparence trompeuse	deem Typ seng Frëndlechkeet ass nëmme Fassad ! 	FASSAD1UNI2	a showy misrepresentation intended to conceal something unpleasant	0.5528748035430908				
Fassong	SUBST	shape	form	Form	äußere Gestalt	forme	apparence	beim éischte Reen hat den Hutt seng Fassong verluer 	FASSONG1UNI1	the visual appearance of something or someone	0.24711008369922638				
Fassung	SUBST	setting	for a jewel	Fassung	Haltevorrichtung	monture	support de fixation	dësen Diamant huet eng schéi Fassung 	FASSUNG1UNI2	a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place	0.4179711639881134				
Fassung	SUBST	composure		Fassung	Beherrschung	contenance	contrôle de soi-même	bei eisem Sträit huet hien d'Fassung verluer 	FASSUNG1UNI3			Macht, zu beherrschen oder zu besiegen	0.6930606365203857		
fatal	ADJ	fatal	calamitous, deadly	fatal	verhängnisvoll, tödlich	fatal	très grave, mortel	datt s du d'Enveloppë verwiesselt hues, war e fatalen Iertum 	FATAL1UNI1	(of events) having extremely unfortunate or dire consequences; bringing ruin; ; ; ; - Charles Darwin; - Douglas MacArthur	0.5069343447685242	tödlich oder unheilvoll	0.739915132522583	exceedingly harmful	0.551018476486206
Fatalistin	SUBST	fatalist	female	Fatalistin		fataliste	femme	als Fatalistin gleewen ech fest drun, datt alles vum Schicksal bestëmmt gëtt 	FATALISTIN1UNI1	anyone who submits to the belief that they are powerless to change their destiny	0.21056360006332397				
Fatz	SUBST	scrap	of paper, of fabric	Fetzen		bout de papier		hues de keng Fatz Pabeier, fir eng Telefonsnummer opzeschreiwen? 	FATZ1UNI2	a small fragment of something broken off from the whole	0.324092298746109				
fauchen	VRB	to hiss	animal	fauchen	Tier	feuler	animal	d'Kaz huet gefaucht , wéi ech se wollt heemelen 	FAUCHEN1UNI1	make a sharp hissing sound, as if to show disapproval	0.1511297971010208				
Fauldéier	SUBST	sloth	animal	Faultier		paresseux	animal	a Costa Rica hu mer vill Fauldéiere fotograféiert 	FAULDEIER1UNI1	any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits	0.21389439702033997				
Faulenzerin	SUBST	lazybones	female	Faulenzerin		fainéante		déi Faulenzerin huet dee ganzen Dag geschlof an näischt geschafft 	FAULENZERIN1UNI1	a lazy person	0.3088715970516205				
faulzeg	ADJ	rotten	starting to rot	angefault		gâté		téitsch d'Äppel net, soss gi se faulzeg ! 	FAULZEG1UNI1	damaged by decay; hence unsound and useless	0.39579787850379944				
fautelen	VRB	to cheat	at a game	mogeln		tricher		ech spillen net gäre mat him, well hie stänneg probéiert ze fautelen 	FAUTELEN1UNI1	engage in deceitful behavior; practice trickery or fraud	0.1364787220954895				
Faveur	SUBST	favour	act of kindness	Gefallen	Gefälligkeit	faveur	service	kéint Dir mir eng Faveur maachen? 	FAVEUR1UNI1	an act of gracious kindness	0.860925018787384			an act of gracious kindness	0.8609249591827393
favoriséieren	VRB	to favour	to give an advantage to, to give preferential treatment to	begünstigen		favoriser		dëse Steiersystem favoriséiert déi Leit, déi net vill verdéngen 	FAVORISEIEREN1UNI1	bestow a privilege upon	0.561720609664917			an advantage to the benefit of someone or something	0.7303481101989746
Favorit	SUBST	favourite	expected winner	Favorit	voraussichtlicher Sieger	favori	vainqueur potentiel	de Favorit huet d'Course mat enger grousser Avance gewonnen 	FAVORIT1UNI1	a competitor thought likely to win	0.4859308898448944				
Fax	SUBST	fax	message, document	Fax	Mitteilung	fax	message	hie krut e Fax geschéckt 	FAX1UNI2	duplicator that transmits the copy by wire or radio	0.3297017812728882				
Fechterin	SUBST	fencer	female	Fechterin		escrimeuse		déi talentéiert Fechterin huet den Tournoi haushéich gewonnen 	FECHTERIN1UNI1	someone skilled at fencing	0.29454514384269714				
Fee	SUBST	fairy	sprite	Fee		fée		eng Fee huet him am Dram dräi Wënsch erfëllt 	FEE1UNI1	a small being, human in form, playful and having magical powers	0.35046064853668213				
feeën	VRB	to trim	vegetables	putzen	Gemüse	nettoyer	des légumes	d'Kanner hëllefen der Bomi d'Boune feeën 	FEEEN1UNI1	cultivate, tend, and cut back the growth of	0.43072831630706787				
feelen	VRB	to be absent		fehlen	abwesend sein, nicht vorhanden sein	manquer	être absent, faire défaut	wie feelt haut? 	FEELEN1UNI1			abwesend sein	0.884972333908081		
feelen	VRB	to be missed by	to be longed for	fehlen	vermisst werden	manquer	sur le plan affectif	d'Bomi feelt hiren Enkelkanner 	FEELEN1UNI3			abwesend sein	0.7253000736236572		
Feeler	SUBST	mistake	inaccuracy	Fehler	Schreibfehler	faute	faute d'orthographe, d'inattention, de frappe	de Bouf hat vill Feeler an sengem Diktat 	FEELER1UNI1	part of a statement that is not correct	0.5805231332778931	ein peinlicher Fehler	0.5758323669433594	part of a statement that is not correct	0.5805231332778931
Feeler	SUBST	mistake	of judgement	Fehler	Fehlverhalten	faute	comportement fautif	all Mënsch mécht Feeler 	FEELER1UNI2	a wrong action attributable to bad judgment or ignorance or inattention	0.4060803949832916	ein peinlicher Fehler	0.5906159281730652		
Feeler	SUBST	flaw	in a product	Fehler	Fabrikationsfehler	défaut	vice de fabrication	am Stoft vu mengem Paltong ass e klenge Feeler 	FEELER1UNI3	an imperfection in an object or machine	0.3172362446784973				
Feeler	SUBST	fault	weakness of character	Fehler	Untugend	défaut	imperfection morale	all Mënsch huet seng Feeler 	FEELER1UNI4	a wrong action attributable to bad judgment or ignorance or inattention	0.4165860712528229	versehentliche Unrichtigkeit	0.5557597279548645	a flaw or weak point	0.5783363580703735
Feelschlag	SUBST	flop	failure	Fehlschlag	Misserfolg	échec		dem jonke Regisseur säin éischte Film war e komplette Feelschlag 	FEELSCHLAG1UNI1	a complete failure	0.6951346397399902	Verfehlen eines gesteckten Ziels	0.5505328178405762		
feelschloen	VRB	to fail	to be unsuccessful	fehlschlagen		échouer	ne pas aboutir	all eis Versich si feelgeschloen 	FEELSCHLOEN1UNI1	be unsuccessful	0.8628107905387878			fail utterly; collapse	0.5321637392044067
Feescht	SUBST	heel	of a foot	Ferse	am Fuß	talon	partie postérieure du pied	jidder Leefer passt op, deem virdrun net an d'Feescht ze trëppelen 	FEESCHT1UNI1	the back part of the human foot	0.6114649176597595				
Feescht	SUBST	heel	of a sock	Ferse	eines Strumpfs	talon	d'une chaussette	d'Feeschte vu mengen neie Strëmp si schonn zerrass 	FEESCHT1UNI2	the back part of the human foot	0.40544772148132324				
Feier	SUBST	fire	bonfire	Feuer	Zweckfeuer	feu	feu contrôlé	d'Kanner maachen de Mëtteg mat hiren Elteren e Feier am Gaart 	FEIER1UNI1	a fireplace in which a relatively small fire is burning	0.4507525861263275	Das Ereignis, bei dem etwas brennt	0.5906211733818054		
Feier	SUBST	fire	conflagration	Feuer		incendie		de Pompjee ass am Prisong, well e Feier geluecht hat 	FEIER1UNI2	the event of something burning (often destructive)	0.505731463432312				
Feier	SUBST	fire	combustion, burning	Feuer	Verbrennungsvorgang	feu	phénomène de combustion	d'Kontroll vum Feier war eng bedeitend Etapp an der Entwécklung vun der Mënschheet 	FEIER1UNI3	the process of combustion of inflammable materials producing heat and light and (often) smoke	0.6848669052124023	Das Ereignis, bei dem etwas brennt	0.6625040769577026	the process of combustion of inflammable materials producing heat and light and (often) smoke	0.6848669052124023
Feierdag	SUBST	holiday	public holiday	Feiertag		jour férié	donnant lieu à un jour férié	ech muss heiansdo sonndes oder op engem Feierdag schaffen 	FEIERDAG1UNI1	a day on which work is suspended by law or custom	0.6004156470298767				
feiereg	ADJ	fiery		feurig	temperamentvoll	fougueux		du hues nawell eng feiereg Ried gehalen! 	FEIEREG1UNI1			kräftig und lebhaft	0.6775594353675842		
féieren	VRB	to lead	to guide	führen	geleiten	mener	accompagner, guider	am Krich hu Passeuren d'Leit iwwer d'Grenz geféiert 	FEIEREN2UNI2	take somebody somewhere	0.40849539637565613				
féieren	VRB	to conduct	to hold	führen	vornehmen	mener	réaliser	et hu misse laang Verhandlunge geféiert ginn 	FEIEREN2UNI3	take somebody somewhere	0.24439746141433716				
féieren	VRB	to run		führen	leiten, betreiben	diriger		eng Haushälterin féiert dem Nottär de Stot 	FEIEREN2UNI4			weiterführen oder funktionieren	0.661780834197998		
féieren	VRB	to lead	road	führen	verlaufen	mener	itinéraire	d'Autobunn féiert ronderëm d'Stad 	FEIEREN2UNI6	take somebody somewhere	0.2951449155807495				
féieren	VRB	to lead to	a result	führen zu	resultieren in	aboutir à	à une conséquence, un résultat	dat do féiert zu näischt! 	FEIEREN2UNI7			hervorrufen	0.6710913181304932		
féieren	VRB	to drive	to transport	fahren	transportieren	conduire	conducteur, véhicule	ech féiere meng Schwëster zweemol an der Woch an d'Schwämm 	FEIEREN3UNI1	travel or be transported in a vehicle	0.593479335308075	ausführen	0.5186712741851807		
Feierkrop	SUBST	poker	for a fire	Schürhaken		tisonnier		verbrenn der d'Fangeren net um Feierkrop ! 	FEIERKROP1UNI1	fire iron consisting of a metal rod with a handle; used to stir a fire	0.46106940507888794				
Feil	SUBST	arrow	weapon	Pfeil	Geschoss	flèche	projectile	ier et Gewierer gouf, ass de Mënsch mat Feil a Bou op d'Juegd gaangen 	FEIL1UNI1	a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow	0.4229387044906616				
Feil	SUBST	arrow	sign	Pfeil	Zeichen	flèche	de signalisation	d'Deviatioun ass mat Feiler gezeechent 	FEIL1UNI2	a mark to indicate a direction or relation	0.36207205057144165				
Feil	SUBST	file	tool	Feile		lime	outil	fir d'Kette vun der Motorsee brauch ech eng extra Feil 	FEIL2UNI1	a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal	0.4607527554035187				
feilen	VRB	to file	to smooth, to shape	feilen		limer		am Zuch souz eng Damm niewent mer, sech d'Neel ze feilen 	FEILEN1UNI1	smooth with a file	0.43093112111091614				
Feind	SUBST	enemy	personal enemy	Feind	persönlicher Feind	ennemi	ennemi personnel	hien huet keng Feinden , hie verdréit sech mat jidderengem! 	FEIND1UNI1	a personal enemy	0.9231345057487488			a personal enemy	0.9231345057487488
Feind	SUBST	enemy	military enemy	Feind	in Kriegszeiten	ennemi	en temps de guerre	vill Leit goufen nom Krich bestrooft, well se mam Feind collaboréiert haten 	FEIND1UNI2	an opposing military force	0.7853811979293823			an armed adversary (especially a member of an opposing military force)	0.6951614618301392
Feind	SUBST	enemy	natural enemy	Feind	natürlicher Feind	ennemi	ennemi naturel	de Fuuss huet keng (natierlech) Feinden 	FEIND1UNI3	a personal enemy	0.660341203212738			a personal enemy	0.660341203212738
Feindin	SUBST	(female) enemy	personal enemy	Feindin	persönliche Feindin	ennemie	ennemie personnelle	säit engem Ierfschaftssträit sinn déi zwou Schwëstere Feindinnen 	FEINDIN1UNI1					a personal enemy	0.9231345057487488
Féiwer	SUBST	temperature	of the body	Fieber	erhöhte Temperatur	température	du corps	d'Kand hat dës Nuecht héicht Féiwer 	FEIWER1UNI1	the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)	0.30697035789489746	ein Anstieg der Körpertemperatur; häufig ein Symptom einer Infektion	0.6406157612800598		
Feld	SUBST	field	arable land	Feld	Ackerland	champ	terre cultivable	de Bauer huet de ganzen Dag um Feld geschafft 	FELD1UNI1	extensive tract of level open land	0.5993330478668213				
Feld	SUBST	field	playing-field	Feld	Teil einer Fläche	zone	d'un terrain de jeu	de Ball war aus dem Feld eraus 	FELD1UNI3	a piece of land prepared for playing a game	0.4780404567718506				
Feldhärin	SUBST	general	female	Feldherrin		générale (en chef)		d'Feldhärin huet hirer Arméi de Kommando gi fir ze attackéieren 	FELDHARIN1UNI1	a general officer of the highest rank	0.18938764929771423				
Feldhong	SUBST	partridge	meat	Rebhuhn	Fleisch	perdrix	chair	ech hunn nach ni Feldhong giess 	FELDHONG2UNI2	flesh of either quail or grouse	0.6259376406669617				
fëlleg	ADJ	wide		weit	groß	ample	large, grand	de Mantel ass der e bësse fëlleg , mooss nach en aneren un! 	FELLEG1UNI1			von beträchtlichem Ausmaß	0.7681582570075989		
Fëllement	SUBST	foundations	of a building	Fundament	Unterbau	fondations	d'un bâtiment	gëschter gouf d'Fëllement vun hirer neier Villa gegoss 	FELLEMENT1UNI1	lowest support of a structure	0.29566633701324463	eine Untergrenze	0.5674968957901001		
Fëllement	SUBST	foundation	basis	Fundament	Grundlage	fondement	base	e Stage an dësem renomméierte Betrib ass e gutt Fëllement fir seng spéider Karriär 	FELLEMENT1UNI2	the basis on which something is grounded	0.46209603548049927	Erziehung oder Unterweisung in den Grundlagen eines Wissensgebietes	0.508966863155365		
fëllen	VRB	to fill		füllen	auffüllen	remplir	rendre plein	d'Kanner hunn der Kaz en Teller mat Mëllech gefëllt 	FELLEN1UNI1			voll werden	0.6706101298332214		
fëllen	VRB	to fill	a container	füllen	einfüllen	mettre	dans un contenant	de Bauer fëllt d'Gromperen a Säck 	FELLEN1UNI2	make full, also in a metaphorical sense	0.33545899391174316	voll werden	0.54982590675354		
fëllen	VRB	to fill	to become full	sich füllen		se remplir		de Festsall huet sech lues a lues gefëllt 	FELLEN1UNI3	become full	0.8890049457550049				
