lemma	pos	de_word	de_definition	sentence	wn_definition
Defaite	SUBST	Niederlage	Misserfolg	no hirer klorer Defaite bei de Walen huet d'Politikerin als Parteipresidentin demissionéiert 	Verfehlen eines gesteckten Ziels
Defekt	SUBST	Defekt	Schaden, Panne	en techneschen Defekt war schold um Accident 	die Eigenschaft, keine Intensität oder Substanz zu haben
Defense	SUBST	Verteidigung	gegen einen Angriff	ouni d'Hëllef vun de Bierger wier d'Defense vun der Festung net méiglech gewiescht 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defense	SUBST	Verteidigung	Sicherung	verschidde Länner hunn sech zesummegedoe fir d'Defense vu gemeinsamen Interessen 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defense	SUBST	Verteidigung	vor Gericht	d'Affekotin huet sech bei der Defense vun hirem Client op e Prezedenzfall beruff 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defense	SUBST	Verteidigung	Spielweise, Taktik	bei dësem Match setzt den Trainer fir d'éischt emol op eng stabil Defense 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defense	SUBST	Abwehr	Teil einer Mannschaft	der Heemekipp hir Defense ass haut net gutt opgestallt 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defenseur	SUBST	Verteidiger	in einem Mannschaftssport	den Defenseur huet mat sengem formidabelen Tackling e séchere Gol verhënnert 	ein Kämpfer, der einem Angriff standhält
Defenseur	SUBST	Verteidiger	Verfechter	dee Politiker ass en iwwerzeegten Defenseur vum Liberalismus 	ein Kämpfer, der einem Angriff standhält
Defensiv	SUBST	Defensive	Abwehrhaltung	duerch déi hefteg Attacke vun der Oppositioun ass d'Ministesch stänneg an der Defensiv 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defensiv	SUBST	Defensive	im Sport	d'Dammenekipp huet sech dës Saison virum allem an der Defensiv stabiliséiert 	der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen
Defi	SUBST	Herausforderung	Aufgabe, Bewährungsprobe	dës Missioun ass e richtegen Defi fir mech 	ein Faktor, der Schwierigkeiten bei der Erreichung eines positiven Ergebnisses verursacht oder dazu neigt, ein negatives Ergebnis hervorzubringen
definéieren	VRB	definieren	erklären	hannen am Buch sinn déi technesch Wierder definéiert 	abschließend regeln; sich einigen
definéieren	VRB	definieren	festlegen	mir mussen eis Objektiver nei definéieren 	abschließend regeln; sich einigen
Defizit	SUBST	Defizit	Fehlbetrag	d'Firma mécht zënter dräi Joer Defizit 	Nichterscheinen
deforméieren	VRB	verdrehen	verfälschen	dësen Artikel deforméiert d'Wouerecht 	sich plötzlich verdrehen, so dass es zu einer Verstauchung kommt
defteg	ADJ	deftig	nahrhaft	haut de Mëtteg hunn ech en deftegen Ierzebulli giess 	reichlich und mit Genuss konsumieren
degagéieren	VRB	klären	den Ball	d'Visiteure kréien de Ball net aus dem Strofraum degagéiert 	entwickeln
degagéieren	VRB	bereitstellen	finanzielle Mittel	d'Sue fir déi nei Schoul gi progressiv degagéiert 	in Umlauf bringen oder verteilen oder ausstatten mit
Degoût	SUBST	Ekel	Abneigung	zënter senger Liewensmëttelvergëftung huet hatt den Degoût an d'Fleesch 	starke Gefühle der Abneigung
degoûtéieren	VRB	anekeln	Nahrungsmittel	ech ka keng Schleeken iessen, déi degoûtéiere mech 	widerwärtig finden
degradéieren	VRB	degradieren	im Dienstgrad herabsetzen	well den Offizéier sech net un d'Uerdere gehalen huet, gouf en degradéiert 	durch Stoffwechsel erzeugen
degutant	ADJ	ekelhaft	widerlich, unappetitlich	wouhier kënnt deen degutante Geroch am Trapenhaus? 	für den Geist anstößig
déiden	VRB	betäuben	ein Körperteil	den Zänndokter muss den Nerv déiden , ier en ufänkt mat bueren 	gefühllos oder unempfindlich machen
deier	ADJ	teuer	kostspielig	ech hu mer en deiere Bijou geleescht 	lukrativ
deier	ADJ	teuer	kostspielig	dat gëtt en deiere Spaass! 	lukrativ
Déierendokter	SUBST	Tierarzt	für Kleintiere	den Déierendokter huet eis krank Kaz missen aschléiferen 	ein Arzt, der Tiermedizin praktiziert
déif	ADJ	tief	nach unten reichend	fal net an dat déift Lach! 	in der Tiefe einem Abgrund gleichend; so tief, dass es unermesslich ist
déif	ADJ	tief	nach unten reichend	eisen Dirigent huet ze déif an d'Glas gekuckt 	in der Tiefe einem Abgrund gleichend; so tief, dass es unermesslich ist
déif	ADJ	tief	nach hinten reichend	den Tirang ass 30 cm déif 	stark genug, um umzuwerfen oder zu überwältigen
déif	ADJ	tief	nach hinten reichend	déi zwee Verléifter hu sech déif an d'Ae gekuckt 	stark genug, um umzuwerfen oder zu überwältigen
déif	ADJ	tief	mitten (in)	d'Hex wunnt am déiwe Bësch 	in der Tiefe einem Abgrund gleichend; so tief, dass es unermesslich ist
déif	ADJ	tief	intensiv	mir drécken der Famill vum Verstuerwenen eist déift Matgefill aus 	stark; intensiv
déif	ADJ	tief	in geringer Höhe	déi déif Wolleke versprieche Reen 	in der Tiefe einem Abgrund gleichend; so tief, dass es unermesslich ist
déif	ADJ	tief	Stimme, Ton	déi déif Téin vun dengem Piano si verstëmmt 	relativ tief oder stark; jemanden tief berührend
déif	ADJ	tief	gering	mir musse fir déi zwou nächst Woche mat déiwen Temperature rechnen 	negative Verstärkung
Déift	SUBST	Tiefe	senkrechte Ausdehnung	de Pëtz huet eng Déift vu siwe Meter 	ein tiefer Ton, der laut und voluminös ist
Déift	SUBST	Tiefe	senkrechte Ausdehnung	déi Frëndin ass mat mir duerch d'Héichten an d'Déifte vum Liewe gaangen 	ein tiefer Ton, der laut und voluminös ist
Déift	SUBST	Tiefe	waagerechte Ausdehnung	mir hu Schief vu verschiddenen Déiften 	ein tiefer Ton, der laut und voluminös ist
Deklaratioun	SUBST	Erklärung	Mitteilung	dem Zeie sengen Deklaratiounen no kann den Ugekloten net schëlleg sinn 	eine Mitteilung, die erklärt wird; eine (mündliche oder schriftliche) Mitteilung, in der Einzelheiten oder Fakten dargelegt werden usw.
deklaréieren	VRB	erklären	mitteilen	d'Hëllefsorganisatioun huet deklaréiert , datt d'Epidemie am Ament ënner Kontroll ass 	Informationen übermitteln
deklaréieren	VRB	deklarieren	zum Verzollen oder Versteuern	den Douanier huet eis gefrot, ob mer eppes ze deklaréieren hätten 	eine Erklärung (über zollpflichtige Waren) gegenüber einem Zollbeamten abgeben
deklasséieren	VRB	deklassieren	niedriger einstufen	d'Fussballsekipp gouf deklasséiert , well se déi lescht an der Tabell war 	den Preis senken von
Deklinatioun	SUBST	Deklination	Flexion	an der Schoul léieren d'Kanner d'Deklinatioun vun den Adjektiven 	eine nach unten gerichtete Neigung oder Biegung
Dekont	SUBST	Abrechnung	Schlussrechnung	beim Dekont ass eisem Comptabel e Feeler ënnerlaf 	Die Aktivität, Zahlenwerte zu kombineren und damit Ergebnisse zu berechnen.
Dekont	SUBST	Abrechnung	Dokument	haut hat ech den Dekont vum Gas an der Bréifkëscht 	Die Aktivität, Zahlenwerte zu kombineren und damit Ergebnisse zu berechnen.
Dekoratioun	SUBST	Dekoration	Ausschmückung	d'Kleedergeschäft krut fir Chrëschtdag eng nei Dekoratioun 	die Hinzufügung fremder Verzierungen zu einer Sache
Dekoratioun	SUBST	Orden	Ehrenzeichen	déi fräiwëlleg Mataarbechter krute fir hiren Asaz eng Dekoratioun 	eine auffällige Dekoration, die im Grunde wertlos ist
dekoréieren	VRB	dekorieren	auszeichnen	den Offizéier ass vum Grand-Duc dekoréiert ginn 	mit Dekoration versehen
Dekreet	SUBST	Dekret	Beschluss, Verordnung	huet den Dekreet iwwer d'Kierchefabricken haut nach eng juristesch Valeur? 	ein Rechtsdokument, das die Befreiung von einer Schuld oder Verpflichtung belegt
Delai	SUBST	Frist	Zeitspanne	du hues en Delai vun zwou Wochen, fir däi Pak op der Post ofzehuelen 	zeitliche Erstreckung, Fortbestehen, Weiterbestehen von etwas
Delegatioun	SUBST	Delegation	Abordnung	eng Delegatioun vun der Chamber huet Kontakt mat den däitschen Autoritéiten opgeholl 	eine Anfrage
Delfin	SUBST	Delfin	Tier	op eiser Croisière krute mer Walen an Delfinen ze gesinn 	einer der verschiedenen kleinen Zahnwale mit einer schnabelartigen Schnauze; größer als Tümmler
Deliberatioun	SUBST	Beratung	Besprechung	no laangen Deliberatioune waren d'Membere vum Jury sech endlech eens 	 Zusammenkunft von Leuten, um Informationen zu einem Thema
Deliberatioun	SUBST	Beschluss	Entscheidung	de Gemengerot huet d'Deliberatioun geholl, fir d'Vente vum Terrain ze accordéieren 	eine förmliche Äußerung in einer Versammlung, der durch Abstimmung zugestimmt wird
Deliberatioun	SUBST	Beschluss	Dokument	de Gemengesekretär huet der Nottär déi ënnerschriwwen Deliberatioun weiderginn 	eine förmliche Äußerung in einer Versammlung, der durch Abstimmung zugestimmt wird
deliberéieren	VRB	beraten	sich besprechen	de Jury huet stonnelaang deliberéiert , ouni zu engem Resultat ze kommen 	einen Vorschlag machen, einen Plan für etwas verkünden
Delikatess	SUBST	Delikatesse	Leckerbissen	denger Mamm hire Brot ass eng Delikatess 	extreme Appetitlichkeit
Delikatess	SUBST	Delikatesse	Feingefühl	d'Verwaltung ass mat grousser Delikatess un dësen Dossier erugaangen 	extreme Appetitlichkeit
Demande	SUBST	Nachfrage	in der (Markt-)Wirtschaft	d'Offer an d'Demande reegelen de Maart 	die Fähigkeit und der Wunsch, Waren und Dienstleistungen zu erwerben
demarréieren	VRB	anspringen	Motor	bei fiichtem a kalem Wieder demarréiert mäin Oldtimer net ëmmer direkt 	einen Zug besteigen
demaskéieren	VRB	demaskieren	entlarven	de Spioun gouf demaskéiert a verhaft 	andeuten oder vermuten
Demissioun	SUBST	Rücktritt	von einem Amt	de Minister huet seng Demissioun ginn, well e krank ass 	ein förmlicher Rücktritt und Verzicht auf Befugnisse
Demografie	SUBST	Demografie	Bevölkerungswissenschaft	hien ass Professer fir Demografie 	Teilgebiet der Soziologie, das sich mit den Merkmalen menschlicher Populationen befasst
Demografie	SUBST	Demografie	Bevölkerungsstatistik	de Geograf huet eng Recherche iwwer d'Demografie vun eisem Land gemaach 	Teilgebiet der Soziologie, das sich mit den Merkmalen menschlicher Populationen befasst
Demokratie	SUBST	Demokratie	politisches Prinzip	d'Demokratie garantéiert alle Bierger déi selwecht Grondrechter 	die politische Ausrichtung derjenigen, die eine Regierung durch das Volk oder durch seine gewählten Vertreter befürworten
Demokratie	SUBST	Demokratie	demokratischer Staat	ech loosse mech net gäre vu Kameraen iwwerwaachen, mir liewe schliisslech an enger Demokratie ! 	die politische Ausrichtung derjenigen, die eine Regierung durch das Volk oder durch seine gewählten Vertreter befürworten
Demonstratioun	SUBST	Demonstration	Kundgebung	muer de Mëtteg ass an der Stad eng Demonstratioun géint de Krich 	eine öffentliche Demonstration von Gruppengefühlen (gewöhnlich politischer Natur)
demonstréieren	VRB	demonstrieren	durch Vorführen beweisen	eise Chimiesprofesser huet d'Theorie mat engem Experiment demonstréiert 	die Gültigkeit von etwas beweisen, zum Beispiel durch ein Beispiel, eine Erklärung oder ein Experiment
Déngen	SUBST	Ding	Gegenstand	ech kann dat Déngen net méi gesinn! 	ein Artefakt
Déngen	SUBST	Dings	männliche Person	den Déngen ass un der Dier, wéi heescht e scho méi? 	Verschiedene Kuriositäten
déngen	VRB	wirken	wirksam sein	d'Medikament géint mäi Kappwéi huet gedéngt 	eine Handlung durchführen
Déngscht	SUBST	Dienst	berufliche Tätigkeit	mir däerfen am Déngscht keen Alkohol drénken 	Beschäftigung in oder Arbeit für einen anderen
denkbar	ADJ	denkbar	möglich	mir hu probéiert, all denkbar Léisunge fir eise Problem an engem Dokument opzelëschten 	in der Lage, zu geschehen oder zu existieren
denkbar	ADV	denkbar	sehr	deng Ufro kënnt zu engem denkbar schlechten Ament 	in der Lage, zu geschehen oder zu existieren
denken	VRB	denken an	im Sinn haben	eis Kanner denken nëmme méi un d'Vakanz! 	erwarten, glauben oder vermuten
denken	VRB	denken an	nicht vergessen	hues de dru geduecht , fir däi Fotoapparat matzebréngen? 	erwarten, glauben oder vermuten
denken	VRB	denken an	ins Auge fassen	d'Koppel denkt drun, en Haus ze kafen 	erwarten, glauben oder vermuten
denken	VRB	denken an	ins Auge fassen	ech hunn dat gemaach, ouni un eppes Béises ze denken 	erwarten, glauben oder vermuten
denken	VRB	denken	glauben, vermuten	munchereen duecht , déi Firma géif Faillite maachen 	von etwas überzeugt sein
dënn	ADJ	dünn	von geringer Dicke	op den Diech läit eng dënn Kusch Schnéi 	von geringem Ausmaß
dënn	ADJ	dünn	nicht dicht, spärlich	hei uewen an de Bierger ass d'Loft dënn 	von geringem Ausmaß
dënn	ADJ	dünn	nicht dicht, spärlich	de Kaffi an der Kantin ass mir ze dënn 	von geringem Ausmaß
denoncéieren	VRB	denunzieren	anzeigen	de Fierschter huet de Braconnier bei der Police denoncéiert 	dagegen stimmen; seine Zustimmung verweigern; nicht zustimmen
Dentier	SUBST	Gebiss	Zahnprothese	well e wéinst enger Krankheet all seng Zänn verluer hat, krut de Patient scho ganz jonk en Dentier 	der Durchbruch der Milchzähne durch das Zahnfleisch
depanéieren	VRB	reparieren	ein Fahrzeug	de Garagist schéckt e Mecanicien laanscht, fir den Auto ze depanéieren 	Etwas wieder funktionsfähig machen.
Depart	SUBST	Start	eines Rennens	de Leefer huet den Depart verpasst 	frühester Grenzpunkt
Depart	SUBST	Abfahrt	Fahrtbeginn	den Depart vum Zuch ass ëm aacht Auer 	der Anfang von etwas
Departement	SUBST	Verwaltungsbezirk	in Frankreich	eist Land stéisst un zwee franséisch Departementer 	ein zu Verwaltungs- oder anderen Zwecken abgegrenztes Gebiet
depasséieren	VRB	überschreiten	einen Betrag	mir däerfen dee Betrag op kee Fall depasséieren ! 	vorbeifahren
depasséieren	VRB	überfordern	Aufgabenstellung	d'Schüler ware vum Exercice komplett depasséiert 	überlastet werden
Dependance	SUBST	Dependance	Nebengebäude	zum Schlass gehéieren dräi Dependancen 	eine Abteilung einer größeren oder komplexeren Organisation
Depense	SUBST	Ausgabe	Zahlung	wann hie wëllt spueren, da muss e gewëssen Depensë sträichen 	Beträge für Waren und Dienstleistungen, die steuerlich abzugsfähig sind
deponéieren	VRB	deponieren	aufbewahren lassen	d'Clientë kënnen hir Bijouen am Safe vum Hotel deponéieren 	mit etwas Gewünschtem oder Benötigtem versorgen
deponéieren	VRB	einbringen	eine Gesetzesvorlage	d'Regierung huet de Gesetzesprojet an der Chamber deponéiert 	in den Besitz kommen
Depot	SUBST	Depot	Lager	de Vendeur ass d'Wueren hannenaus an den Depot siche gaangen 	Ort, an dem Waren gelagert werden
Depot	SUBST	Depot	Betriebshof	de Chauffer féiert de Bus zeréck an den Depot 	Ort, an dem Waren gelagert werden
Dëppen	SUBST	Topf	Gefäß	den Usträicher huet d'Dëppe mat der Faarf ëmgehäit 	ein durch eine zylindrische Fläche und zwei parallele Ebenen (die Grundflächen) begrenzter Körper
Depressioun	SUBST	Depression	Krankheit	am Wanter maache méi Leit eng Depressioun 	ein Zustand von Depression und Anhedonie, der so schwerwiegend ist, dass eine klinische Behandlung erforderlich ist
derangéieren	VRB	stören	lästig sein, lästig werden	derangéiert et Iech, wann ech fëmmen? 	Unannehmlichkeiten oder Unbehagen verursachen
Derangement	SUBST	Störung	Unterbrechung	entschëllegt den Derangement , mee ech hätt eng wichteg Fro un Iech! 	Aktivität, die eine Fehlfunktion, ein Eindringen oder eine Unterbrechung darstellt
derbäi	ADV	dabei sein	anwesend sein, mitmachen	mir waren net derbäi , wéi déi Decisioun geholl gouf 	an etwas teilhaben
derbäimaachen	VRB	zulangen	tüchtig essen	mer haten esou derbäigemaach , datt vum Buffet näischt iwwereg blouf 	mit einem heftigen Schlag schnell zuschlagen
derbäimaachen	VRB	zulangen	kräftig zupacken	mir hu missen derbäimaachen , fir matzäit fäerdeg ze ginn 	mit einem heftigen Schlag schnell zuschlagen
Dermatologie	SUBST	Dermatologie	Fachgebiet	d'Behandlung vum Hautkriibs fält ënner de Beräich vun der Dermatologie 	das Teilgebiet der Medizin, das sich mit der Haut und ihren Erkrankungen befasst
Dermatologie	SUBST	Dermatologie	Abteilung	am neie Spidol läit d'Dermatologie um drëtte Stack 	das Teilgebiet der Medizin, das sich mit der Haut und ihren Erkrankungen befasst
dernieft	ADV	daneben	unangebracht	däi Behuele war komplett dernieft , ech huelen dech néierens méi mat! 	nicht angemessen
dernieft	ADV	daneben	verwirrt	deen Typ ass ëmmer e bëssen dernieft , gëff näischt op säi Gerieds! 	nicht angemessen
derno	ADV	nachher	letzten Endes	ech maachen net mat bei där Affär, well derno sinn ech erëm schold! 	am Ende oder gegen Ende einer Periode oder eines Stadiums der Entwicklung
deroutéieren	VRB	verwirren	aus dem Konzept bringen	mat senge stännege Froen huet hie mech komplett deroutéiert 	verwickeln oder verkomplizieren
Deshydratatioun	SUBST	Dehydratation	des Körpers	Deshydratatioun ass e Problem, dee virun allem bei ale Leit am décke Summer ganz heefeg ass 	Mangel an Körperflüssigkeiten
Design	SUBST	Design	Formgebung	deen Autosmodell huet nawell e sportlechen Design ! 	der Vorgang, etwas in einer bestimmten Form herzustellen
Design	SUBST	Design	Wissensgebiet	mäi Brudder studéiert am éischte Joer Design 	der Vorgang, etwas in einer bestimmten Form herzustellen
deskriptiv	ADJ	deskriptiv	rein beschreibend erfassend	den LOD ass en deskriptiven Dictionnaire, deen iwwer de Sënn an d'Orthografie vun de Wierder informéiert 	zur Beschreibung oder Information dienend oder durch Beschreibung gekennzeichnet
developpéieren	VRB	entwickeln	ausarbeiten	et ass en neie Bremssystem fir Zich developpéiert ginn 	ausarbeiten
developpéieren	VRB	sich entwickeln	sich entfalten	déi Saach muss sech nach richteg developpéieren 	hervorkommen
developpéieren	VRB	entwickeln	einen Film	ech hunn d'Filmer aus der Vakanz developpéiere gelooss 	geschehen
Developpement	SUBST	Entwicklung	Ausarbeitung	d'Developpement vun deem Konzept huet laang gedauert 	ein Entwicklungsprozess
Deviatioun	SUBST	Umleitung	des Verkehrs	mir hunn eis verrannt, well d'Deviatioun net gutt gezeechent war 	eine Umgehungsstraße (insbesondere eine, die vorübergehend benutzt wird, während eine Hauptstraße gesperrt ist)
deviéieren	VRB	umleiten	den Verkehr, einen Anruf	wéinst dem Chantier gëtt de Verkéier vun der Autobunn iwwer d'Landstrooss deviéiert 	in eine bestimmte Richtung umleiten
deviéieren	VRB	ablenken	in eine andere Richtung leiten	wann de Ball ongewollt an de Gol deviéiert gëtt , schwätzt ee vun engem Selbstgol 	in eine neue Richtung lenken
Devis	SUBST	Kostenvoranschlag	Vorberechnung	ech hu bei zwee Leeëndecker en Devis fir en neien Daach gefrot 	eine Erklärung über die voraussichtlichen Kosten einer bestimmten Arbeit
Devis	SUBST	Kostenvoranschlag	Dokument	klasséier déi dräi Devisen an dee selwechte Classeur! 	eine Erklärung über die voraussichtlichen Kosten einer bestimmten Arbeit
Devise	SUBST	Devise	Wahlspruch	kenns du d'Devise vun de Scouten? 	ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson
Devise	SUBST	Devise	Zahlungsmittel	huelt Dir den Euro als Devise un? 	ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson
Dialog	SUBST	Dialog	Gedankenaustausch, Gespräch	d'Gewerkschafte setzen sech fir de sozialen Dialog an 	ein Gespräch zwischen zwei Personen
Dialog	SUBST	Dialog	schriftlich	ech liese gär Stécker mat absurden Dialogen 	eine literarische Komposition in Form eines Gesprächs zwischen zwei Personen
Diaphragma	SUBST	Diaphragma	Verhütungsmittel	wann eng Fra d'Pëll net verdréit, kann en Diaphragma eng Alternativ bei der Verhütung sinn 	eine empfängnisverhütende Vorrichtung, die aus einer flexiblen kuppelförmigen Schale aus Gummi oder Kunststoff besteht; sie ist mit Spermizid gefüllt und wird über den Gebärmutterhals gestülpt
dicht	ADJ	dicht	undurchlässig	d'Fënster ass net dicht , et reent eran 	so dicht gebaut, dass sie undurchlässig sind
dicht	ADJ	dicht	undurchdringlich, eng zusammenstehend	duerch déi dicht Heck gesäit keen an eise Gaart eran 	mit eng aneinander gedrängten Bestandteilen
dichteg	ADJ	stattlich	gesund, kräftig	aus deem daierleche Bëbee ass en dichtege Bouf ginn 	verstärkend im Sinne von beträchtlich
Dichtung	SUBST	Dichtung	zum Abdichten	d'Dichtung vum Krunn muss ersat ginn 	Dichtung, bestehend aus einem Ring zur Abdichtung von Kolben oder zur Abdichtung einer Rohrverbindung
Dickelchen	SUBST	Huhn	Haushuhn	um Bauerenhaff sinn d'Kanner d'Dickelcher an d'Gusse kucke gaangen 	Fleisch eines älteren Huhns, das sich zum Schmoren eignet
Dictée	SUBST	Diktat	Rechtschreibübung	eis Joffer huet haut eng ganz schwéier Dictée mat eis gemaach 	der Vorgang, dass jmd., der eine bestimmte Autorität besitzt, verlangt, dass jmd. etwas sofort und ohne Widerrede tut
Dictée	SUBST	Diktat	Dokument	d'Schüler mussen d'Dictéeën an hire Classeur maachen 	der Vorgang, dass jmd., der eine bestimmte Autorität besitzt, verlangt, dass jmd. etwas sofort und ohne Widerrede tut
Dier	SUBST	Tür	Schließvorrichtung	wann ech fort sinn, däerfs de kengem d'Dier opmaachen! 	ein trennendes oder verbindendes Element zwischen Räumen und/oder Bereichen
Dier	SUBST	Tür	Schließvorrichtung	dat ass net bei der Dier 	ein trennendes oder verbindendes Element zwischen Räumen und/oder Bereichen
Dièse	SUBST	Kreuz	Notenschriftzeichen	den Dièse gëtt an enger Partitur mat ♯ notéiert 	(Astronomie) ein Punkt, an dem eine Umlaufbahn eine Ebene kreuzt
Diesel	SUBST	Diesel	Fahrzeug	ech tanke kee Bensinn, mäin Auto ass en Diesel 	ein Verbrennungsmotor, der mit Schweröl betrieben wird
Diesel	SUBST	Diesel	Treibstoff	hien huet 25 Liter Diesel getankt 	ein Verbrennungsmotor, der mit Schweröl betrieben wird
Differenz	SUBST	Differenz	Abweichung	an deem Beruff gëtt et keng Differenz an der Pai tëschent Mann a Fra 	unterschiedliche Art, Beschaffenheit
Differenz	SUBST	Differenz	Unstimmigkeit	tëschent Elteren a Kanner kënnt et dacks zu Differenzen 	unterschiedliche Art, Beschaffenheit
Differenz	SUBST	Unterschied	Unterscheidung	do maachen ech keng Differenz 	unterschiedliche Art, Beschaffenheit
diffuséieren	VRB	übertragen	senden	verschidde Concerte vum philharmoneschen Orchester ginn um Radio live diffuséiert 	Dafür sorgen, dass eine Nachricht, ein Gruß oder etwas Anderes den Empfänger erreicht
Diktat	SUBST	Diktat	Rechtschreibübung	d'Kanner hunn haut an der Schoul en däitscht Diktat gemaach 	der Vorgang, dass jmd., der eine bestimmte Autorität besitzt, verlangt, dass jmd. etwas sofort und ohne Widerrede tut
Diktat	SUBST	Diktat	Dokument	d'Schüler mussen d'Diktater an hire Classeur maachen 	der Vorgang, dass jmd., der eine bestimmte Autorität besitzt, verlangt, dass jmd. etwas sofort und ohne Widerrede tut
diktéieren	VRB	diktieren	einen Text	den Direkter diktéiert sengem Sekretär e Bréif 	Befehle oder Anweisungen erteilen für
Dill	SUBST	Diele	Brett	de Schräiner huet déi zwee Dill op d'Mooss geschnidden 	ein Brett im Fußboden
Dillendapp	SUBST	Kreisel	Spielzeug	den Dillendapp ass iwwer de Buedem gejauft 	eine Straßenkreuzung, an der der Verkehr kreisförmig um eine zentrale Insel herumgeführt wird
Dillendapp	SUBST	Zapfen	eines Nadelbaums	d'Kanner haten e ganze Kuerf Dillendäpp geraf 	ein Stöpsel für ein Spundloch in einem Faß
Dimensioun	SUBST	Dimension	Ausmaß, Bedeutung, Gewicht	duerch déi rezent Entdeckunge krut d'Gentechnologie eng ganz nei Dimensioun 	eine räumliche oder zeitliche Abmessung einer Sache
Dimensioun	SUBST	Dimension	Komponente	de Journalist huet sech fir déi politesch Dimensioun vum Problem interesséiert 	relative Bedeutung
Dinde	SUBST	Truthahn	als Braten	wéi laang muss d'Dinde am Schäffche bleiwen? 	männlicher Truthahn
Diplom	SUBST	Diplom	Ausbildungsgrad	hie mécht en Diplom an der Chimie 	ein Dokument, das den erfolgreichen Abschluss eines Studiengangs bescheinigt
Diplom	SUBST	Diplom	Dokument	d'Diplomer vum Premièresexame ginn am Festsall iwwerreecht 	ein Dokument, das den erfolgreichen Abschluss eines Studiengangs bescheinigt
diplomatesch	ADJ	diplomatisch	(zwischen)staatlich	béid Länner hunn nei diplomatesch Bezéiungen opgeholl 	auf die Diplomatie bezogen oder für sie charakteristisch
diplomatesch	ADJ	diplomatisch	taktisch geschickt	deng Manéier, fir mat der Dier an d'Haus ze falen, ass net ganz diplomatesch 	sich höflich und zuvorkommend verhaltend
Diplomatie	SUBST	Diplomatie	in der Politik	d'Regierung wëllt eréischt iwwer e militäreschen Asaz nodenken, wann d'Diplomatie versot huet 	Verhandlung zwischen Nationen
Diplomatie	SUBST	Diplomatie	Umsicht, Gewandtheit	an där Affär do feelt et him un där néideger Diplomatie 	Verhandlung zwischen Nationen
direkt	ADJ	direkt	ohne Umweg, ohne Unterbrechung	dat heiten ass deen direkte Wee fir an d'Stad 	ohne Umwege
direkt	ADJ	unmittelbar	räumlich nahe	de Bäcker ass mäin direkten Noper 	räumlich oder zeitlich sehr nahe oder verbunden
direkt	ADJ	direkt	unverblümt	deng Froe si mer e bëssen ze direkt ! 	ohne Umwege
Direktioun	SUBST	Richtung	räumliche Richtung	d'Autobunn ass wéinst engem schwéieren Accident an eng Direktioun gespaart 	ein Streben, eine Neigung und eine Häufung von Ereignissen in eine bestimmte Richtung
Direktioun	SUBST	Direktion	Leitung, Vorstand	d'Direktioun huet decidéiert, 100 nei Aarbechtsplazen ze schafen 	eine Telefonverbindung
Direktioun	SUBST	Leitung	eines Musikensembles	den Orchester spillt den Owend ënner der Direktioun vun engem groussen Dirigent 	die Tätigkeit des Führens
dirigéieren	VRB	dirigieren	führen	hien dirigéiert zënter Kuerzem eng grouss Entreprise 	mit Autorität entscheiden
dirigéieren	VRB	dirigieren	lenken	d'Police dirigéiert d'Busse mat de Supporter bis virun de Stadion 	mit Autorität entscheiden
dirigéieren	VRB	dirigieren	ein Musikensemble	ech dirigéieren zënter 25 Joer de Kierchechouer an eisem Duerf 	mit Autorität entscheiden
dirigéieren	VRB	sich begeben	in eine bestimmte Richtung	d'Demonstratioun dirigéiert sech a Richtung Zentrum 	über oder durch gehen
Disk	SUBST	Platte	Schallplatte	ech hu vill al Disken aus de Sechzegerjoren 	eine starre Magnetplatte, die fest in einer Laufwerkseinheit montiert ist
Diskothéik	SUBST	Diskothek	Tanzlokal	baussent dem Duerf ass eng nei Diskothéik opgaangen 	ein öffentlicher Tanzsaal, in dem zu aufgezeichneter Unterhaltungsmusik getanzt wird
diskreet	ADJ	diskret	unauffällig, dezent	mäi Chef huet mech op eng diskreet Aart a Weis op e Feeler higewisen 	nicht auffällig oder aufdringlich
diskreet	ADJ	diskret	verschwiegen	hien ass en diskreete Mënsch, him kanns de dat roueg zielen 	nicht auffällig oder aufdringlich
Diskretioun	SUBST	Diskretion	Verschwiegenheit	Dir sidd gebieden, dës Informatioune mat där néideger Diskretioun ze behandelen 	der Zustand des Versteckens oder Verborgenseins
Diskussioun	SUBST	Diskussion	Meinungsaustausch, Debatte	déi laang Diskussioun huet zu kengem konkreete Resultat geféiert 	Dialog mit kontroversen Ansichten.
Diskussioun	SUBST	Auseinandersetzung	Streit	wéinst de Suen hu si dacks Diskussiounen 	Dialog mit kontroversen Ansichten.
Dispens	SUBST	Befreiung	Freistellung	d'Schülerin huet eng Dispens vum Turne gefrot 	Befreiung von einer Verpflichtung oder Pflicht
