lemma_x	pos_x	en_word_x	en_definition_x	sentence_x	code	wn_definition_x	confidence_x	lemma_y	pos_y	en_word_y	en_definition_y	sentence_y	wn_definition_y	confidence_y	lux_definition
Geschmaach	SUBST	taste	flavour	wouhier kënnt dee battere Geschmaach an denger Zooss? 	GESCHMAACH1UNI1	a kind of sensing; distinguishing substances by means of the taste buds	0.4584607779979706	Geschmaach	SUBST	taste	flavour	wouhier kënnt dee battere Geschmaach an denger Zooss? 	have flavor; taste of something	0.6028043627738953	No eppes schmaachen; no eppes Goût hunn
Gewënn	SUBST	profit	financial gain	meng Kanner ginn um Gewënn vum Verkaf bedeelegt 	GEWENN1UNI1	the advantageous quality of being beneficial	0.4691639542579651	Gewënn	SUBST	profit	financial gain	meng Kanner ginn um Gewënn vum Verkaf bedeelegt 	make a profit; gain money or materially	0.6404535174369812	Suen oder materiell Virdeeler kréien; finanziell Virdeel maachen
Gewënn	SUBST	thread	screw thread	d'Schrauf hält net, well d'Gewënn ausgeleiert ass 	GEWENN2UNI1	the raised helical rib going around a screw	0.4974491894245147	Gewënn	SUBST	thread	screw thread	d'Schrauf hält net, well d'Gewënn ausgeleiert ass 	thread on or as if on a string	0.6179745197296143	Eppes op eng Schnouer oder e Fuedem zéien oder oprieden.
Gläichgewiicht	SUBST	balance	equilibrium	de Cyclist huet d'Gläichgewiicht verluer an ass vum Vëlo gefall 	GLAICHGEWIICHT1UNI1	a state of equilibrium	0.8279103636741638	Gläichgewiicht	SUBST	balance	equilibrium	de Cyclist huet d'Gläichgewiicht verluer an ass vum Vëlo gefall 	be in equilibrium	0.8582607507705688	An engem Zoustand sinn, wou alles ausgeglach ass.
Goût	SUBST	taste	flavour	d'Zooss huet en excellente Goût 	GOUT1UNI1	a kind of sensing; distinguishing substances by means of the taste buds	0.4584607779979706	Goût	SUBST	taste	flavour	d'Zooss huet en excellente Goût 	have flavor; taste of something	0.6028043627738953	E Geschmaach hunn; no eppes schmaachen
gutt	ADJ	good	virtuous, charitable	dat Kand huet e gudde Charakter 	GUTT2UNI6	of moral excellence	0.5766259431838989	gutt	ADJ	good	virtuous, charitable	dat Kand huet e gudde Charakter 	moral excellence or admirableness	0.6310625076293945	moralesch Exzellenz oder Bewonnerenswäertes
haart	ADJ	hard	solid, firm	d'Brout ass haart ewéi Steen! 	HAART1UNI1	very strong or vigorous	0.4455398023128509	haart	ADJ	hard	solid, firm	d'Brout ass haart ewéi Steen! 	with firmness	0.6561204791069031	mat Festegkeet
handicapéiert	ADJ	disabled	handicapped	zënter sengem schwéieren Accident ass hien handicapéiert a sëtzt am Rollstull 	HANDICAPEIERT1UNI1	incapable of functioning as a consequence of injury or illness	0.5168459415435791	handicapéiert	ADJ	disabled	handicapped	zënter sengem schwéieren Accident ass hien handicapéiert a sëtzt am Rollstull 	people collectively who are crippled or otherwise physically handicapped	0.6892332434654236	Leit, déi kierperlech ageschränkt oder soss kierperlech behënnert sinn.
hannendran	ADV	behindhand	behind schedule	ech si mat menger Aarbecht hannendran 	HANNENDRAN1UNI1	in debt	0.2917072176933288	hannendran	ADV	behindhand	behind schedule	ech si mat menger Aarbecht hannendran 	behind schedule	1.0	net am Zäitplang
haut	ADV	today	this present day	ech hunn haut Gebuertsdag 	HAUT1UNI1	on this day as distinct from yesterday or tomorrow	0.4174101054668426	haut	ADV	today	this present day	ech hunn haut Gebuertsdag 	the present time or age	0.6734307408332825	déi aktuell Zäit oder Epoche
héich	ADJ	high	high-ranking	hie war e Geléierte vun héijem Rang 	HEICH1UNI2	standing above others in quality or position	0.5561133027076721	héich	ADJ	high	high-ranking	hie war e Geléierte vun héijem Rang 	a lofty level or position or degree	0.6466451287269592	eng Positioun oder en Niveau wäit uewen oder mat vill Ofstand no uewe viru gesat
héich	ADJ	high	in altitude	déi héich Wolleken do brénge kee Reen 	HEICH1UNI7	(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high')	0.4280031323432922	héich	ADJ	high	in altitude	déi héich Wolleken do brénge kee Reen 	at a great altitude	0.7807592153549194	op enger grousser Héicht
Hëllef	SUBST	help	assistance	mat denger Hëllef komme mer gutt virun 	HELLEF1UNI1	a means of serving	0.3384118676185608	Hëllef	SUBST	help	assistance	mat denger Hëllef komme mer gutt virun 	give help or assistance; be of service	0.602504312992096	Ënnerstëtzung ubidden oder behëlleflech sinn; engem zur Säit stoen
hënnescht	ADJ	back	at the rear	eist Sekretariat ass am hënneschte Gebai 	HENNESCHT1UNI1	located at or near the back of an animal	0.5316025614738464	hënnescht	ADJ	back	at the rear	eist Sekretariat ass am hënneschte Gebai 	be in back of	0.6757802963256836	hannert eppes sinn
hoppelen	VRB	to hop	to move by jumping forward	eng brong Kanéngchen hoppelt iwwer d'Wiss 	HOPPELEN1UNI1	make a jump forward or upward	0.7018787264823914	hoppelen	VRB	to hop	to move by jumping forward	eng brong Kanéngchen hoppelt iwwer d'Wiss 	the act of hopping; jumping upward or forward (especially on one foot)	0.7277572154998779	d'Aktioun vum Sprangen; no vir oder no uewen sprangen (besonnesch op engem Fouss)
huelen	VRB	to place	in a certain position	de Bauer huet d'Béischte virum Wanter an de Stall geholl 	HUELEN1UNI14	place somebody in a particular situation or location	0.5977756381034851	huelen	VRB	to place	in a certain position	de Bauer huet d'Béischte virum Wanter an de Stall geholl 	proper or appropriate position or location	0.6820152401924133	Richteg oder passend Plaz oder Positioun
Impakt	SUBST	impact	effect	déi demografesch Evolutioun huet en direkten Impakt op d'Ekonomie 	IMPAKT1UNI2	a forceful consequence; a strong effect	0.4974634051322937	Impakt	SUBST	impact	effect	déi demografesch Evolutioun huet en direkten Impakt op d'Ekonomie 	have an effect upon	0.6567821502685547	En Wierkung op eppes hunn
Juegd	SUBST	hunting	activity of hunting	d'Juegd op de Fuuss ass dat ganzt Joer verbueden 	JUEGD1UNI2	the pursuit and killing or capture of wild animals regarded as a sport	0.6627048850059509	Juegd	SUBST	hunting	activity of hunting	d'Juegd op de Fuuss ass dat ganzt Joer verbueden 	pursue for food or sport (as of wild animals)	0.6927366256713867	Eng Déier verfollegen, fir et z'iessen oder als Fräizäitaktivitéit.
Juegd	SUBST	hunt	search	bei der Juegd op den Terrorist waren eng 30 Polizisten am Asaz 	JUEGD1UNI5	an instance of searching for something	0.6351941823959351	Juegd	SUBST	hunt	search	bei der Juegd op den Terrorist waren eng 30 Polizisten am Asaz 	seek, search for	0.689470112323761	no eppes kucken, probéieren eppes ze fannen
kachen	VRB	to cook	to prepare meals	ech kache fir mäi Liewe gär! 	KACHEN2UNI2	prepare a hot meal	0.4975887238979339	kachen	VRB	to cook	to prepare meals	ech kache fir mäi Liewe gär! 	someone who cooks food	0.6514270901679993	een deen Iessen zoubereet
Kader	SUBST	frame	picture frame	wat huet dat Bild e schéine Kader ! 	KADER1UNI8	a framework that supports and protects a picture or a mirror	0.4610120058059692	Kader	SUBST	frame	picture frame	wat huet dat Bild e schéine Kader ! 	enclose in a frame, as of a picture	0.6582432389259338	An eppes ronderëm mat engem Rand afaasen, wéi zum Beispill bei engem Bild.
Kant	SUBST	edge	rim, border	de Schräiner huet déi rau Kante mat Glaspabeier ofgeschlaff 	KANT1UNI1	the boundary of a surface	0.501505434513092	Kant	SUBST	edge	rim, border	de Schräiner huet déi rau Kante mat Glaspabeier ofgeschlaff 	provide with a border or edge	0.6411378383636475	mat engem Bord oder enger Randbegrenzung versinn
Kappsprong	SUBST	dive	plunge into water	hien huet sech net getraut, e Kappsprong vum Sprangbriet ze maachen 	KAPPSPRONG1UNI1	a headlong plunge into water	0.8149695992469788	Kappsprong	SUBST	dive	plunge into water	hien huet sech net getraut, e Kappsprong vum Sprangbriet ze maachen 	plunge into water	1.0000001192092896	Sprong an d'Waasser maachen
Klatz	SUBST	bowl	ball	hie geréit fënnef Keele mat enger Klatz 	KLATZ1UNI1	a large ball with finger holes used in the sport of bowling	0.568669319152832	Klatz	SUBST	bowl	ball	hie geréit fënnef Keele mat enger Klatz 	roll (a ball)	0.6139535903930664	E Ball mat der Hand um Buedem dréinen oder beweegen.
knacken	VRB	to crack	to break open	mäi Brudder knackt d'Nëss mat den Zänn 	KNACKEN1UNI1	hit forcefully; deal a hard blow, making a cracking noise	0.5061250329017639	knacken	VRB	to crack	to break open	mäi Brudder knackt d'Nëss mat den Zänn 	the act of cracking something	0.6409851312637329	D'Handlung, eppes mat engem kuerzen, haarde Geräisch opzebriechen oder opzemaachen.
knipsen	VRB	to snap	a photograph	an der Vakanz knipsen ech gäre Landschaften 	KNIPSEN1UNI2	record on photographic film	0.3457368612289428	knipsen	VRB	to snap	a photograph	an der Vakanz knipsen ech gäre Landschaften 	an informal photograph; usually made with a small hand-held camera	0.626565158367157	eng informellt Foto, meeschtens mat enger klenger Kamera gemaach déi een an der Hand hält
Knuet	SUBST	knot	fastening	bei de Scoute krut ech gewisen, wéi een e platte Knuet mécht 	KNUET1UNI1	any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object	0.6125914454460144	Knuet	SUBST	knot	fastening	bei de Scoute krut ech gewisen, wéi een e platte Knuet mécht 	tie or fasten into a knot	0.6510989665985107	Eppes zesummebannen oder festmaachen, andeems een et verdréint an zesummenzitt.
Konferenz	SUBST	lecture	educational talk	e bekannten Dokter hält den Owend eng Konferenz iwwer Broschtkriibs 	KONFERENZ1UNI3	teaching by giving a discourse on some subject (typically to a class)	0.5552751421928406	Konferenz	SUBST	lecture	educational talk	e bekannten Dokter hält den Owend eng Konferenz iwwer Broschtkriibs 	deliver a lecture or talk	0.6689583659172058	En Virtrag oder eng Ried halen
Konflikt	SUBST	conflict	armed struggle	et ass net auszeschléissen, datt et zu engem militäresche Konflikt kënnt 	KONFLIKT1UNI3	a hostile meeting of opposing military forces in the course of a war	0.462376207113266	Konflikt	SUBST	conflict	armed struggle	et ass net auszeschléissen, datt et zu engem militäresche Konflikt kënnt 	be in conflict	0.6247426271438599	An enger Ausernanersetzung sinn.
Kontrakt	SUBST	contract	legal agreement	de Kontrakt leeft automatesch virun, wann en net gekënnegt gëtt 	KONTRAKT1UNI1	a binding agreement between two or more persons that is enforceable by law	0.65642911195755	Kontrakt	SUBST	contract	legal agreement	de Kontrakt leeft automatesch virun, wann en net gekënnegt gëtt 	engage by written agreement	0.6658014059066772	Sech schrëftlech op eppes eenegen.
kontrolléieren	VRB	to check	to verify, to inspect	all Muere ginn am Zuch d'Billjeeë kontrolléiert 	KONTROLLEIEREN1UNI2	be verified or confirmed; pass inspection	0.7079923152923584	kontrolléieren	VRB	to check	to verify, to inspect	all Muere ginn am Zuch d'Billjeeë kontrolléiert 	the act of inspecting or verifying	0.804323673248291	D'Aktioun vum Nohuelen oder Iwwerpréiwen
krabbelen	VRB	to crawl	to go on hands and knees, to move slowly	de Bëbee fänkt schonn un ze krabbelen 	KRABBELEN1UNI1	move slowly; in the case of people or animals with the body near the ground	0.5883824229240417	krabbelen	VRB	to crawl	to go on hands and knees, to move slowly	de Bëbee fänkt schonn un ze krabbelen 	a slow mode of locomotion on hands and knees or dragging the body	0.6897186040878296	eng lues Fortbeweege mat den Hänn an de Knéien oder duerch Nozéie vum Kierper um Buedem
Krämpchen	SUBST	cramp	muscle cramp	ech krut beim Schwammen e Krämpchen an d'Wued 	KRAMPCHEN1UNI1	a painful and involuntary muscular contraction	0.6208807826042175	Krämpchen	SUBST	cramp	muscle cramp	ech krut beim Schwammen e Krämpchen an d'Wued 	suffer from sudden painful contraction of a muscle	0.6972591876983643	Ënner enger plëtzlecher, schmäerzlecher Zesummenzéiung vun engem Muskel leiden.
Kreeslaf	SUBST	cycle	pattern, sequence	d'Wieder ännert am Kreeslaf vun de Joreszäiten 	KREESLAF1UNI2	a periodically repeated sequence of events	0.5467251539230347	Kreeslaf	SUBST	cycle	pattern, sequence	d'Wieder ännert am Kreeslaf vun de Joreszäiten 	recur in repeating sequences	0.681646466255188	ëmmer erëm a sech widderhuelende Sequenze virkommen
kréinen	VRB	to crown	a monarch	de Kinnek gëtt d'nächst Woch gekréint 	KREINEN1UNI1	invest with regal power; enthrone	0.3246364295482635	kréinen	VRB	to crown	a monarch	de Kinnek gëtt d'nächst Woch gekréint 	the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy	0.6369830369949341	d'Monarchie (oder de regéierende Monarch) als Symbol fir d'Muecht an d'Autoritéit vun enger kinneklecher Herrschaft
Kritik	SUBST	review	critical appraisal	deen neie Film huet ganz gutt Kriticke kritt 	KRITIK1UNI2	a new appraisal or evaluation	0.8392916321754456	Kritik	SUBST	review	critical appraisal	deen neie Film huet ganz gutt Kriticke kritt 	appraise critically	0.8524632453918457	kritesch beurteelen
krozelen	VRB	to doodle	to sketch	de Schüler huet net nogelauschtert an déi ganzen Zäit Männercher gekrozelt 	KROZELEN1UNI2	make a doodle; draw aimlessly	0.520558774471283	krozelen	VRB	to doodle	to sketch	de Schüler huet net nogelauschtert an déi ganzen Zäit Männercher gekrozelt 	an aimless drawing	0.6096294522285461	eng Zeechnung ouni e bestëmmten Zweck
Kuck	SUBST	look	expression	wat hues du fir eng däischter Kuck op där Foto! 	KUCK1UNI1	the feelings expressed on a person's face	0.4181209504604339	Kuck	SUBST	look	expression	wat hues du fir eng däischter Kuck op där Foto! 	convey by one's expression	0.6307560205459595	Mat sengem Gesiichtsausdrock vermëttelen.
lafen	VRB	to run	to move by running	du kanns méi séier lafen ewéi ech 	LAFEN1UNI1	move about freely and without restraint, or act as if running around in an uncontrolled way	0.6420427560806274	lafen	VRB	to run	to move by running	du kanns méi séier lafen ewéi ech 	the act of running; traveling on foot at a fast pace	0.7272074222564697	d'Handlung sech séier ze Fouss virun ze beweegen; sech séier ze Fouss fortbeweegen
leaken	VRB	to leak	confidential information	Deeler vum geheime Rapport goufe geleakt 	LEAKEN1UNI1	tell anonymously	0.4353595972061157	leaken	VRB	to leak	confidential information	Deeler vum geheime Rapport goufe geleakt 	unauthorized (especially deliberate) disclosure of confidential information	0.6137387752532959	Onerlaabt (besonnesch absichtlech) Weidergi vu vertraulechen Informatiounen
liesen	VRB	to read	a text	ech liese grad e spannend Buch 	LIESEN1UNI1	interpret something that is written or printed	0.5735421776771545	liesen	VRB	to read	a text	ech liese grad e spannend Buch 	something that is read	0.6050920486450195	eppes, wat ee liest
liewen	VRB	to live	to be alive	ären Hond gesäit schlecht aus, ech mengen, dee lieft net méi laang 	LIEWEN2UNI1	have life, be alive	0.5623623132705688	liewen	VRB	to live	to be alive	ären Hond gesäit schlecht aus, ech mengen, dee lieft net méi laang 	possessing life	0.623942494392395	Lieweg sinn oder Liewen hunn
Mandat	SUBST	mandate	authority	du hues kee Mandat , fir dat doten ze maachen 	MANDAT1UNI1	a document giving an official instruction or command	0.266418308019638	Mandat	SUBST	mandate	authority	du hues kee Mandat , fir dat doten ze maachen 	assign authority to	0.6022314429283142	Eng Persoun oder Institutioun mat enger bestëmmter Aufgab oder Verantwortung beoptragen.
Mandat	SUBST	mandate	authority	du hues kee Mandat , fir dat doten ze maachen 	MANDAT2UNI1	a document giving an official instruction or command	0.266418308019638	Mandat	SUBST	mandate	authority	du hues kee Mandat , fir dat doten ze maachen 	assign authority to	0.6022314429283142	Eng Persoun oder Institutioun mat enger bestëmmter Aufgab oder Kompetenz beoptragen.
matlafen	VRB	to run	a foot race	well ech mäi Knéi wéi hunn, weess ech net, ob ech de Marathon ka matlafen 	MATLAFEN1UNI1	compete in a race	0.7759168148040771	matlafen	VRB	to run	a foot race	well ech mäi Knéi wéi hunn, weess ech net, ob ech de Marathon ka matlafen 	a race run on foot	0.9015167951583862	e Cours, bei deem ee leeft
Medezinner	SUBST	doctor	medical	um Kongress waren nëmme Medezinner 	MEDEZINNER1UNI1	a licensed medical practitioner	0.6186182498931885	Medezinner	SUBST	doctor	medical	um Kongress waren nëmme Medezinner 	give medical treatment to	0.6795105934143066	eng medezinesch Behandlung ginn
mëssbrauchen	VRB	to misuse	to put to wrong use	du hues mäi Vertraue mëssbraucht 	MESSBRAUCHEN1UNI1	apply to a wrong thing or person; apply badly or incorrectly	0.4966995120048523	mëssbrauchen	VRB	to misuse	to put to wrong use	du hues mäi Vertraue mëssbraucht 	improper or excessive use	0.6169103384017944	net ubruecht oder iwwerdriwwent Benotzen
Molerei	SUBST	painting	art	déi zwou Kolleeginnen hu sech stonnelaang iwwer Molerei ënnerhalen 	MOLEREI1UNI1	graphic art consisting of an artistic composition made by applying paints to a surface	0.579764723777771	Molerei	SUBST	painting	art	déi zwou Kolleeginnen hu sech stonnelaang iwwer Molerei ënnerhalen 	make a painting	0.6109625697135925	e Bild mat Faarwe maachen
Molerei	SUBST	painting	painted picture	d'Molereien an der Hiel sinn e puer dausend Joer al 	MOLEREI1UNI2	creating a picture with paints	0.5945101976394653	Molerei	SUBST	painting	painted picture	d'Molereien an der Hiel sinn e puer dausend Joer al 	make a painting	0.7029660940170288	e Bild mat Faarwe maachen
negligéieren	VRB	to neglect	to fail to care for	du solls deng Gesondheet net esou negligéieren 	NEGLIGEIEREN1UNI2	fail to attend to	0.5407330393791199	negligéieren	VRB	to neglect	to fail to care for	du solls deng Gesondheet net esou negligéieren 	willful lack of care and attention	0.6998751163482666	bewosst Mangel u Suergfalt an Opmierksamkeet
niddereg	ADJ	low	at a low height	an den ale Bauerenhaiser sinn d'Plaffonge gewéinlech méi niddereg 	NIDDEREG1UNI2	literal meanings; being at or having a relatively small elevation or upward extension	0.4641643464565277	niddereg	ADJ	low	at a low height	an den ale Bauerenhaiser sinn d'Plaffonge gewéinlech méi niddereg 	in a low position; near the ground	0.8391053080558777	op enger déif Plaz; no beim Buedem
nofëllen	VRB	to refill	a container	d'Peffermille muss nogefëllt ginn 	NOFELLEN1UNI1	fill something that had previously been emptied	0.4173213243484497	nofëllen	VRB	to refill	a container	d'Peffermille muss nogefëllt ginn 	a commercial product that refills a container with its appropriate contents	0.6079941391944885	e kommerziellt Produkt, mat deem een en eidele Behälter erëm mat deem entspriechenden Inhalt opfëlle kann
Nordmazedonier	SUBST	Macedonian	person from North Macedonia	mäi beschte Frënd ass Nordmazedonier 	NORDMAZEDONIER1UNI1	the Slavic language of modern Macedonia	0.6126412153244019	Nordmazedonier	SUBST	Macedonian	person from North Macedonia	mäi beschte Frënd ass Nordmazedonier 	of or relating to Macedonia or its inhabitants	0.6989193558692932	aus oder bezunn op Mazedonien oder seng Awunner
Nordmazedonierin	SUBST	Macedonian	female person from North Macedonia	meng bescht Frëndin ass Nordmazedonierin 	NORDMAZEDONIERIN1UNI1	the Slavic language of modern Macedonia	0.5651283264160156	Nordmazedonierin	SUBST	Macedonian	female person from North Macedonia	meng bescht Frëndin ass Nordmazedonierin 	of or relating to Macedonia or its inhabitants	0.6347648501396179	vun oder bezunn op Mazedonien oder seng Awunner
notéieren	VRB	to note	to record in writing	de Sekretär huet eis Iwwerleeungen all notéiert 	NOTEIEREN1UNI1	make a written note of	0.6620608568191528	notéieren	VRB	to note	to record in writing	de Sekretär huet eis Iwwerleeungen all notéiert 	a brief written record	0.7742666006088257	eng kuerz schrëftlech Opzeechnung
Nott	SUBST	note	written message, reminder, summary	maach mer eng Nott , soss vergiessen ech d'Kommissioun! 	NOTT1UNI2	a brief written record	0.6352737545967102	Nott	SUBST	note	written message, reminder, summary	maach mer eng Nott , soss vergiessen ech d'Kommissioun! 	make a written note of	0.684977114200592	eppes schrëftlech festhalen
Nout	SUBST	score	of a musical composition	d'Pianistin huet de ganze Concert ouni Noute gespillt 	NOUT2UNI2	a written form of a musical composition; parts for different instruments appear on separate staves on large pages	0.6355738043785095	Nout	SUBST	score	of a musical composition	d'Pianistin huet de ganze Concert ouni Noute gespillt 	write a musical score for	0.6631535887718201	d'Noute fir e Museksstéck opschreiwen
ofbéien	VRB	to turn	to change direction	hei däerf een net no lénks ofbéien 	OFBEIEN1UNI1	change orientation or direction, also in the abstract sense	0.6807302236557007	ofbéien	VRB	to turn	to change direction	hei däerf een net no lénks ofbéien 	a movement in a new direction	0.6929826140403748	eng Beweegung an eng nei Richtung
ofginn	VRB	to pass	the ball	denk drun, de Ball ofzeginn , du bass net eleng um Terrain! 	OFGINN1UNI5	throw (a ball) to another player	0.5471492409706116	ofginn	VRB	to pass	the ball	denk drun, de Ball ofzeginn , du bass net eleng um Terrain! 	of advancing the ball by throwing it	0.6049838066101074	de Ball no vir bréngen, andeems een e gehäit
ofsprangen	VRB	to jump	to initiate a jump, to take off	den Héichsprénger huet sech wéigedoen, wéi en ofgesprongen ass 	OFSPRANGEN1UNI2	cause to jump or leap	0.6669507622718811	ofsprangen	VRB	to jump	to initiate a jump, to take off	den Héichsprénger huet sech wéigedoen, wéi en ofgesprongen ass 	the act of jumping; propelling yourself off the ground	0.7944400906562805	d'Handlung vum Sprangen; sech vum Buedem fortdrécken
opräissen	VRB	to tear	to rip, to damage	ech hu mer d'Box un engem Nol opgerass 	OPRAISSEN1UNI3	move quickly and violently	0.3314280807971954	opräissen	VRB	to tear	to rip, to damage	ech hu mer d'Box un engem Nol opgerass 	the act of tearing	0.6617597341537476	d'Handlung vum Zerklappen
oprappen	VRB	to tear	to rip, to damage	ech hu mer d'Box un engem Nol opgerappt 	OPRAPPEN1UNI3	move quickly and violently	0.3314280807971954	oprappen	VRB	to tear	to rip, to damage	ech hu mer d'Box un engem Nol opgerappt 	the act of tearing	0.6617597341537476	D'Handlung vum Zerappen.
opspillen	VRB	to lead	to play the first card	wie spillt op ? 	OPSPILLEN1UNI3	be ahead of others; be the first	0.4061158001422882	opspillen	VRB	to lead	to play the first card	wie spillt op ? 	the playing of a card to start a trick in bridge	0.6089270710945129	Eng Kaart leeën, fir en Tour am Bridge unzefänken.
Panno	SUBST	sign	road sign, notice	de Wee war mat Pannoe gezeechent 	PANNO1UNI1	a public display of a message	0.3560698628425598	Panno	SUBST	sign	road sign, notice	de Wee war mat Pannoe gezeechent 	place signs, as along a road	0.7489879727363586	Schëlter laanscht eng Strooss opstellen
parfüméieren	VRB	to perfume	to give a pleasant smell to	d'Blumme parfüméieren de ganze Raum 	PARFUMEIEREN1UNI2	fill or impregnate with an odor	0.5440744161605835	parfüméieren	VRB	to perfume	to give a pleasant smell to	d'Blumme parfüméieren de ganze Raum 	a distinctive odor that is pleasant	0.6506774425506592	en eegene Geroch deen agreabel ass
passen	VRB	to pass	the ball	de Stiermer huet engem Matspiller de Ball gepasst 	PASSEN2UNI8	throw (a ball) to another player	0.5471492409706116	passen	VRB	to pass	the ball	de Stiermer huet engem Matspiller de Ball gepasst 	of advancing the ball by throwing it	0.6049838066101074	de Ball no vir bréngen, andeems een e gehäit
Permanente	SUBST	perm	permanent wave	meng Mamm huet sech fréier beim Coiffer ëmmer eng Permanente maache gelooss 	PERMANENTE1UNI1	a series of waves in the hair made by applying heat and chemicals	0.4488826990127563	Permanente	SUBST	perm	permanent wave	meng Mamm huet sech fréier beim Coiffer ëmmer eng Permanente maache gelooss 	give a permanent wave to	0.845003604888916	eng Hoerfrisur maachen, bei där d'Hoer laangfristeg gewellt bleiwen
Plaz	SUBST	place	location	dat ass eng gutt Plaz , fir e Geschäft opzemaachen 	PLAZ1UNI2	where you live at a particular time	0.5787818431854248	Plaz	SUBST	place	location	dat ass eng gutt Plaz , fir e Geschäft opzemaachen 	locate	0.7059032917022705	Erausfannen oder bestëmmen, wou eppes sech befënnt.
Plaz	SUBST	place	location, area	hei sidd Dir net op der richteger Plaz , Dir musst an de Büro niewendru goen 	PLAZ1UNI8	a general vicinity	0.5079197287559509	Plaz	SUBST	place	location, area	hei sidd Dir net op der richteger Plaz , Dir musst an de Büro niewendru goen 	identify the location or place of	0.7345276474952698	Erausfanne wou eppes läit oder sech befënnt
Plongeon	SUBST	dive	plunge	am Schwamme krute mer gewisen, wéi een e richtege Plongeon mécht 	PLONGEON1UNI1	a headlong plunge into water	0.6693282723426819	Plongeon	SUBST	dive	plunge	am Schwamme krute mer gewisen, wéi een e richtege Plongeon mécht 	plunge into water	0.7026047706604004	Sprang an d'Waasser maachen
Plus	SUBST	plus	advantage	e Kandidat mat Erfarung huet e Plus géintiwwer engem Ufänger 	PLUS1UNI4	a useful or valuable quality	0.3220804929733276	Plus	SUBST	plus	advantage	e Kandidat mat Erfarung huet e Plus géintiwwer engem Ufänger 	involving advantage or good	0.6830379366874695	mat Virdeel oder eppes Guddem verbonnen
Pluspunkt	SUBST	plus	advantage	d'fachlech Berodung vun de Clienten ass e Pluspunkt vun deem Geschäft 	PLUSPUNKT1UNI2	a useful or valuable quality	0.3220804929733276	Pluspunkt	SUBST	plus	advantage	d'fachlech Berodung vun de Clienten ass e Pluspunkt vun deem Geschäft 	involving advantage or good	0.6830379366874695	Mat engem Virdeel oder eppes Guddem verbonnen.
Pos	SUBST	laying	putting in position	muer fänken se mat der Pos vun de Plättercher un 	POS1UNI2	the production of eggs (especially in birds)	0.0400758422911167	Pos	SUBST	laying	putting in position	muer fänken se mat der Pos vun de Plättercher un 	put in a horizontal position	0.6137701869010925	An eng waagerecht Positioun leeën
Profit	SUBST	profit	financial gain	eise Betrib huet dëst Joer kee Profit ofgeworf 	PROFIT1UNI2	the advantageous quality of being beneficial	0.4691639542579651	Profit	SUBST	profit	financial gain	eise Betrib huet dëst Joer kee Profit ofgeworf 	make a profit; gain money or materially	0.6404535174369812	Suen oder materiell Virdeeler kréien.
Prozent	SUBST	discount	percentage reduction	wärend de Solde kriss de an de meeschte Geschäfter Prozenter 	PROZENT1UNI2	an amount or percentage deducted	0.5953162312507629	Prozent	SUBST	discount	percentage reduction	wärend de Solde kriss de an de meeschte Geschäfter Prozenter 	give a reduction in price on	0.653398334980011	e Präis erofsetzen
Pudder	SUBST	powder	face powder	maach der e wéineg Pudder an d'Gesiicht, da bass de net esou blatzeg! 	PUDDER1UNI2	any of various cosmetic or medical preparations dispensed in the form of a pulverized powder	0.5108372569084167	Pudder	SUBST	powder	face powder	maach der e wéineg Pudder an d'Gesiicht, da bass de net esou blatzeg! 	apply powder to	0.6373720169067383	mat Pudder bestreeën
quaken	VRB	to quack	duck	beim Weier quaken d'Inten och 	QUAKEN1UNI2	utter quacking noises	0.4530526101589203	quaken	VRB	to quack	duck	beim Weier quaken d'Inten och 	the harsh sound of a duck	0.6448149681091309	dat haart Geräisch, dat Inten maachen
raachen	VRB	to smoke	tobacco	mäi Bop raacht d'Päif 	RAACHEN1UNI1	inhale and exhale smoke from cigarettes, cigars, pipes	0.4882789254188537	raachen	VRB	to smoke	tobacco	mäi Bop raacht d'Päif 	the act of smoking tobacco or other substances	0.6325724720954895	d'Handlung, Tubak oder aner Substanzen ze fëmmen
raachen	VRB	to smoke	to smoke tobacco	si wëllt ophale mat raachen 	RAACHEN1UNI2	inhale and exhale smoke from cigarettes, cigars, pipes	0.5352555513381958	raachen	VRB	to smoke	to smoke tobacco	si wëllt ophale mat raachen 	the act of smoking tobacco or other substances	0.6218000054359436	d'Handlung, Tubak oder aner Substanzen anzestiechen an anzeootmen
raschten	VRB	to rest	to relax, to lie down	nom Mëttegiesse rascht de Bopi gewéinlech eng Stonn 	RASCHTEN2UNI1	rest on or as if on a pillow	0.6303258538246155	raschten	VRB	to rest	to relax, to lie down	nom Mëttegiesse rascht de Bopi gewéinlech eng Stonn 	a pause for relaxation	0.7088380455970764	eng Paus fir sech ze entspanen
raschten	VRB	to rest	to have a break	komm, mir raschten een Ament, ech sinn ausser Otem! 	RASCHTEN2UNI2	take a short break from one's activities in order to relax	0.5821187496185303	raschten	VRB	to rest	to have a break	komm, mir raschten een Ament, ech sinn ausser Otem! 	a pause for relaxation	0.6866509318351746	eng Paus fir sech ze entspanen
