lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,gloss
Fotograf,SUBST,photographer,,Fotograf,,photographe,,fir seng Hochzäit huet mäi Brudder e professionelle Fotograf engagéiert ,FOTOGRAF1UNI1,someone who takes photographs professionally,0.7386257648468018,"jemand, der beruflich fotografiert",0.7650768756866455,,,someone who takes photographs professionally,en,0.7386257648468018,"Persoun, déi Fotoe mécht, besonnesch berufflech, a Biller mat enger Kamera ophëlt an eventuell och verschafft."
Fousspilz,SUBST,athlete's foot,,Fußpilz,,mycose du pied,,ech hu mir an der Schwämm e Fousspilz opgeraf ,FOUSSPILZ1UNI1,,,Pilzinfektion der Füße,0.7527256011962891,,,Pilzinfektion der Füße,de,0.7527256011962891,"Pilzinfektioun un de Féiss, meeschtens tëscht den Zéiwen oder un der Fousssuel, déi Jucken, Roudheet, Schuppen a Rëss verursaache kann."
Fraendokter,SUBST,gynaecologist,,Frauenarzt,,gynécologue,,wéinst enger Entzündung am Ënnerleif sinn ech bei mengem Fraendokter a Behandlung ,FRAENDOKTER1UNI1,a specialist in gynecology,0.8341602683067322,ein Facharzt für Gynäkologie,0.7674772143363953,a specialist in gynecology,0.8341602683067322,a specialist in gynecology,en,0.8341602683067322,"Dokter, deen op Gynäkologie spezialiséiert ass a Fraen bei Krankheete vum weibleche Geschlechtsapparat, Schwangerschaft a Gebuert medezinesch betreit."
fräimaachen,VRB,to undress,,sich freimachen,sich entkleiden,se dévêtir,,"maacht Iech uewe fräi , fir datt ech Iech kann oflauschteren! ",FRAIMAACHEN1UNI2,get undressed,0.6864451169967651,sich (von jemandem oder sich selbst) entkleiden,0.9052636623382568,,,get undressed,en,0.6864451169967651,"Eppes opmaachen oder fräiginn, sou datt et net méi zou, blockéiert oder besat ass; och am iwwerdroene Sënn: eppes erméiglechen oder Plaz schafen."
Fräisproch,SUBST,acquittal,,Freispruch,,acquittement,en justice,d'Affekotin huet e Fräisproch fir hire Client gefrot ,FRAISPROCH1UNI1,a judgment of not guilty,0.6396663188934326,,,,,a judgment of not guilty,en,0.6396663188934326,"Juristesch Entscheedung oder Uerteel, mat deem eng Persoun vun enger Uklo fräigesprach gëtt; och am méi allgemenge Sënn eng offiziell Entlaaschtung vun engem Virworf oder enger Schold."
Frechheet,SUBST,insult,"offensive remark, action",Frechheit,"Äußerung, Handlung",insolence,,de Bouf huet den ale Leit op der Strooss Frechheeten nogeruff ,FRECHHEET1UNI1,a deliberately offensive act or something producing the effect of deliberate disrespect,0.6322417259216309,,,an offensive disrespectful impudent act,0.6514323353767395,a deliberately offensive act or something producing the effect of deliberate disrespect,en,0.6322417259216309,"Eng Ausso oder Handlung, déi als onhéiflech, respektlos oder beleidegend empfonnt gëtt."
Frëndlechkeet,SUBST,friendliness,,Freundlichkeit,Wesen,amabilité,,mat Frëndlechkeet kënnt ee meeschtens méi wäit ewéi mat Grant ,FRENDLECHKEET1UNI1,a friendly disposition,0.7181304693222046,,,,,a friendly disposition,en,0.7181304693222046,"D’Eegenschaft oder Haltung, frëndlech, hëllefsbereet a respektvoll géintiwwer anere Leit ze sinn."
Fret,SUBST,cargo,freight,Fracht,Frachtgut,fret,marchandise,"weess du, wéi vill Fret am Joer iwwer d'Schinn transportéiert gëtt? ",FRET1UNI1,goods carried by a large vehicle,0.6009155511856079,,,,,goods carried by a large vehicle,en,0.6009155511856079,"Transport vu Wueren oder Gidder, besonnesch wann se iwwer méi laang Distanzen (z. B. per Camion, Zuch, Schëff oder Fliger) verschéckt ginn; och d’Frachtkäschten dofir."
Fumoir,SUBST,smoking room,,Raucherzimmer,,fumoir,pièce,fréier hunn d'Häre sech nawell gären nom Nuechtiessen an de Fumoir zeréckgezunn ,FUMOIR1UNI1,,,,,room in a hotel or club set apart for smokers,0.7770437002182007,room in a hotel or club set apart for smokers,fr,0.7770437002182007,"E Raum oder Beräich (z. B. an engem Restaurant, Hotel oder op enger Gare), dee speziell dofir virgesinn ass, datt Leit do däerfen fëmmen."
fuuschten,VRB,,,tun,"arbeiten, leisten",foutre,faire,dee lidderege Kärel fuuscht de ganzen Dag näischt ,FUUSCHTEN1UNI1,,,"durchführen, produzieren oder ausführen",0.6831619143486023,,,"durchführen, produzieren oder ausführen",de,0.6831619143486023,Mat de Fäischten zougräifen oder eppes mat der Fäischt schloen; sech mat Fäischten ausenaner setzen.
Gaardeschléifer,SUBST,garden dormouse,,Gartenschläfer,,lérot,,de Gaardeschléifer ass zu Lëtzebuerg virun allem op der Musel an de Wéngerten an an der Géigend vun Dikrech an de Bongerten ze fannen ,GAARDESCHLEIFER1UNI1,,,,,dormouse of southern Europe and northern Africa,0.7077468633651733,dormouse of southern Europe and northern Africa,fr,0.7077468633651733,"Persoun oder Apparat, deen d’Gaardeschéier schäerft an nees schneidfäeg mécht."
gabunesch,ADJ,Gabonese,,gabunisch,,gabonais,,op eiser Rees hu mir déi gabunesch Kultur kenne geléiert ,GABUNESCH1UNI1,of or relating to Gabon or its inhabitants,0.7133419513702393,,,of or relating to Gabon or its inhabitants,0.7133419513702393,of or relating to Gabon or its inhabitants,en,0.7133419513702393,Adjektiv: Wat aus Gabun staamt oder op Gabun bezunn ass; och: d’Sprooch oder d’Kultur vu Gabun betreffend.
Garnitur,SUBST,set,"collection, assortment",Garnitur,Set,assortiment,set,hien huet sech eng Garnitur Schrauwenzéier kaaft ,GARNITUR1UNI2,,,,,a collection containing a variety of sorts of things,0.7069612145423889,a collection containing a variety of sorts of things,fr,0.7069612145423889,"Zesummestellung vu Saachen, déi zesummegehéieren oder als Set ugebuede ginn; eng Auswiel oder en Ensemble."
Gebuertsdag,SUBST,birthday,anniversary of one's birth,Geburtstag,Jahrestag der Geburt,anniversaire,jour anniversaire de la naissance,fir säin 18. Gebuertsdag hunn seng Elteren him en Auto geschenkt ,GEBUERTSDAG1UNI1,an anniversary of the day on which a person was born (or the celebration of it),0.8856372833251953,"ein Jahrestag des Tages, an dem eine Person geboren wurde (oder die Feier dieses Tages)",0.602324366569519,an anniversary of the day on which a person was born (or the celebration of it),0.8856372833251953,an anniversary of the day on which a person was born (or the celebration of it),en,0.8856372833251953,"Dag, un deem een un d’Welt komm ass, an och d’Feier oder d’Erënnerung un dësen Dag all Joer."
Gedéiesch,SUBST,pests,,(schädliches) Getier,,bestioles,,"wann et owes däischter gëtt, begéint een all Zort vu Gedéiesch ",GEDEIESCH1UNI1,any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.,0.6427935361862183,,,,,any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.,en,0.6427935361862183,"Zoustand oder Resultat vum gudde Wuesstem an Entwécklung; Wuelstand a Bléi (z. B. vun enger Planz, enger Gemeinschaft oder enger Wirtschaft)."
geféierlech,ADJ,dangerous,,gefährlich,,dangereux,,"du gees net eleng op d'Rees, dat ass vill ze vill geféierlech ! ",GEFEIERLECH1UNI1,,,,,fraught with danger,0.69026118516922,fraught with danger,fr,0.69026118516922,"Eegenschaft vun eppes oder engem, dat eng Gefor duerstellt a Schued oder Verletzunge verursaache kann."
Gefill,SUBST,feeling,sense of touch,Gefühl,Sinneswahrnehmung,sensation,physique,"meng riets Hand ass entschlof, ech hu kee Gefill an de Fangeren! ",GEFILL1UNI1,a physical sensation that you experience,0.6300739049911499,"die Bereitschaft, Empfindungen wahrzunehmen; elementares oder undifferenziertes Bewusstsein",0.6522682905197144,,,a physical sensation that you experience,en,0.6300739049911499,"De Sënn, mat deem een duerch d’Haut Beréierungen, Drock, Temperatur a Schmerz wahrhëlt."
geheim,ADJ,secret,"confidential, private",geheim,"heimlich, nicht öffentlich",secret,confidentiel,mir treffen eis op enger geheimer Plaz ,GEHEIM1UNI1,not open or public; kept private or not revealed,0.6038236021995544,,,not open or public; kept private or not revealed,0.6038236021995544,not open or public; kept private or not revealed,en,0.6038236021995544,Net fir d’Ëffentlechkeet bestëmmt; nëmme fir e klenge Krees geduecht a soll net weidergesot oder bekannt gemaach ginn.
Gejäiz,SUBST,screaming,,Geschrei,,cris,,äert Gejäiz héiert ee bis op d'Strooss ,GEJAIZ1UNI1,,,"ein lautes, raues oder schrilles Geräusch",0.60808926820755,,,"ein lautes, raues oder schrilles Geräusch",de,0.60808926820755,"Haart, dacks onuerdentlecht Geschreifs oder Gekrasch, dat vill Kaméidi mécht."
Gelänner,SUBST,railing,"balustrade, guard rail",Geländer,,balustrade,,mir hunn eist Gelänner um Balcon frësch ugestrach ,GELANNER1UNI1,,,,,a railing placed alongside a stairway or road for safety,0.6387630701065063,a railing placed alongside a stairway or road for safety,fr,0.6387630701065063,"Eng Schutz- oder Ofgrenzungsstangekonstruktioun laanscht Trapen, Balkonen oder aner Héichten, déi als Ofsécherung déngt an d’Fallegefor reduzéiert."
gëllen,ADJ,golden,in colour,golden,goldfarbig,doré,de la couleur de l'or,d'Kaddoe waren a gëllene Pabeier agepaakt ,GELLEN1UNI2,,,mit der Farbe von Gold,0.8519175052642822,,,mit der Farbe von Gold,de,0.8519175052642822,Faarf déi un Gold erënnert; giel mat engem gëllene Glanz.
Generatioun,SUBST,generation,age group,Generation,Altersgruppe,génération,tranche d'âge,all Generatioun huet hir eege Gebräicher ,GENERATIOUN1UNI2,,,Gesamtheit von Personen im gleichen Lebensalter.,0.6991196870803833,,,Gesamtheit von Personen im gleichen Lebensalter.,de,0.6991196870803833,"Grupp vu Mënschen, déi an enger ähnlecher Zäit gebuer sinn an dofir ähnlech Erfarungen a gesellschaftlech Prägungen deelen."
Gepiips,SUBST,chirping,,Gepiepe,eines Tieres,pépiement,d'un animal,d'Gepiips vun de Villercher am Nascht huet e Fuuss ugelackelt ,GEPIIPS1UNI2,,,,,a series of chirps,0.8276747465133667,a series of chirps,fr,0.8276747465133667,"E klengt, dënnt Päif- oder Pipsgeräisch; och als Bezeechnung fir e kuerzt, héicht Signal (z. B. vun engem Apparat) benotzt."
Gerechtegkeet,SUBST,justice,fairness,Gerechtigkeit,,justice,,d'Bierger hu fir méi sozial Gerechtegkeet demonstréiert ,GERECHTEGKEET1UNI1,,,gerecht oder fair zu sein,0.6273693442344666,,,gerecht oder fair zu sein,de,0.6273693442344666,"Prinzip oder Zoustand, bei deem jidderee gläich a no Recht behandelt gëtt an Entscheedungen onparteiesch a gerecht getraff ginn."
gescheit,ADJ,intelligent,,gescheit,"klug, intelligent",intelligent,doué d'intelligence,si menge sech wéinst hire gescheite Kanner ,GESCHEIT1UNI1,,,scharfsinnig und weise,0.8182328939437866,,,scharfsinnig und weise,de,0.8182328939437866,Intelligent a vernënfteg; mat guddem Verstand a gudder Iwwerleeung.
Gesiicht,SUBST,face,,Gesicht,"Gesichtszüge, Antlitz",visage,,dat Kand huet e schéint Gesiicht ,GESIICHT1UNI1,,,,,the appearance conveyed by a person's face,0.6192516088485718,the appearance conveyed by a person's face,fr,0.6192516088485718,"De viischten Deel vum Kapp, mat Aen, Nues a Mond; och d’Erscheinung oder d’Mimik vun enger Persoun."
Getéins,SUBST,boasting,,Prahlerei,,vantardise,,säin éiwegt Getéins geet mer ferm op d'Schlappen! ,GETEINS1UNI1,,,,,an instance of boastful talk,0.6778167486190796,an instance of boastful talk,fr,0.6778167486190796,"Onnéidegt, lästegt Geschwätz oder eidel Gerieds, dat ee mécht oder héiert, ouni vill Sënn oder Wäert."
gewerkschaftlech,ADJ,(trade) union,,gewerkschaftlich,,syndical,,hie war ëmmer bei alle gewerkschaftlechen Aktiounen derbäi ,GEWERKSCHAFTLECH1UNI1,,,,,of trade unions,0.805065393447876,of trade unions,fr,0.805065393447876,Op eng Gewerkschaft bezunn; d’Gewerkschafte betreffend oder vun hinnen ausgoend.
gladderen,VRB,to crave,,leckern nach,,avoir très envie de,,d'Kanner hunn no engem Stéck Schockela gegladdert ,GLADDEREN1UNI1,"have a craving, appetite, or great desire for",0.6770574450492859,,,,,"have a craving, appetite, or great desire for",en,0.6770574450492859,"Mat glaten, rutschege Beweegungen iwwer eng Uewerfläch rutschen oder ofrutschen; sech glat a liicht no ënnen oder laanscht eppes beweegen."
Glanzleeschtung,SUBST,achievement,,Glanzleistung,,performance,,"et ass eng Glanzleeschtung , fir dës Aarbecht an esou enger kuerzer Zäit fäerdegzebréngen ",GLANZLEESCHTUNG1UNI1,,,,,any recognized accomplishment,0.6470813751220703,any recognized accomplishment,fr,0.6470813751220703,"Leeschtung oder Resultat, dat sech duerch besonnesche Glanz, héich Qualitéit oder aussergewéinlechen Erfolleg auszeechent."
godronéieren,VRB,to tar,,teeren,,goudronner,,d'Strooss gëtt frësch godronéiert ,GODRONEIEREN1UNI1,coat with tar,0.6305198073387146,,,,,coat with tar,en,0.6305198073387146,"Mat Rëffelen oder halfronne Rillen (Godronen) dekorativ ausformen oder verziéieren, besonnesch un Metall, Holz, Steen oder Keramik."
graff,ADJ,rough,vulgar,grob,"vulgär, ungehobelt",grossier,"vulgaire, inconvenant",huel keng esou graff Wierder an de Mond! ,GRAFF1UNI2,,,ungehärtet und ungeschliffen,0.6353925466537476,,,ungehärtet und ungeschliffen,de,0.6353925466537476,"Vulgärt Adjektiv fir eppes oder een, dat/déi extrem ellent, ofstoussend oder widderlech ass; och als staarkt Schimpfwuert benotzt."
gräisslech,ADJ,hideous,,hässlich,,hideux,,hues du schonn esou eng gräisslech Hex gesinn? ,GRAISSLECH1UNI1,so extremely ugly as to be terrifying,0.6197506785392761,,,so extremely ugly as to be terrifying,0.6197506785392761,so extremely ugly as to be terrifying,en,0.6197506785392761,"Eppes wat ganz ellen, ofstoussend oder schrecklech ass an Ekel oder Ofschéi ausléist."
Grand-Duché,SUBST,grand duchy,,Großherzogtum,,grand-duché,,Lëtzebuerg ass e Grand-Duché ,GRANDDUCHE1UNI1,,,,,the domain controlled by a grand duke or grand duchess,0.681659996509552,the domain controlled by a grand duke or grand duchess,fr,0.681659996509552,"Souveräne Staat, dee vun engem Groussherzog oder enger Groussherzogin regéiert gëtt."
Grond,SUBST,reason,cause,Grund,Ursache,raison,cause,"dee Knadderer fënnt ëmmer e Grond , fir sech opzereegen! ",GROND1UNI2,,,eine Erklärung für die Ursache eines bestimmten Phänomens,0.6592238545417786,,,eine Erklärung für die Ursache eines bestimmten Phänomens,de,0.6592238545417786,E Grond ass d’Ursaach oder d’Begrënnung firwat eppes geschitt oder esou ass.
grouss,ADJ,basic,,groß,wesentlich,grand,"essentiel, principal",den Auteur huet der Press säi lescht Buch a groussen Zich virgestallt ,GROUSS2UNI5,,,"wesentlich sein, von Gewicht, Bedeutung sein; Gewicht, Bedeutung habend",0.6446830034255981,,,"wesentlich sein, von Gewicht, Bedeutung sein; Gewicht, Bedeutung habend",de,0.6446830034255981,Vu grousser Gréisst oder Ausmooss; net kleng.
grousseg,ADJ,,,groß,,grand,,de Stuerm huet déi zwou grousseg Dännen an eisem Gaart ëmgehäit ,GROUSSEG1UNI1,,,von beträchtlichem Ausmaß,0.7681582570075989,,,von beträchtlichem Ausmaß,de,0.7681582570075989,Adjektiv: ganz grouss; vun aussergewéinlecher Gréisst oder Ausmooss.
Haaptaltor,SUBST,high altar,,Hauptaltar,,maître-autel,,de Kiercherot wëllt den Haaptaltor restauréiere loossen ,HAAPTALTOR1UNI1,,,,,the main altar in a church,0.7072160243988037,the main altar in a church,fr,0.7072160243988037,"Den Haaptaltor ass den zentrale, wichtegsten Altor an enger Kierch, meeschtens am Chouer, wou d’Haaptliturgie gefeiert gëtt."
handschrëftlech,ADJ,handwritten,,handschriftlich,,manuscrit,,en handschrëftleche Liewenslaf mécht ëmmer e besseren Androck ,HANDSCHREFTLECH1UNI1,written by hand,0.8597230911254883,mit der Hand geschrieben,0.8273400068283081,written by hand,0.8597230911254883,written by hand,en,0.8597230911254883,Op eng Handschrëft bezunn; mat der Hand geschriwwen an net gedréckt oder digital.
hanneschtgoen,VRB,to go back,to return,zurückgehen,,retourner,"rebrousser chemin, aller de nouveau","ech muss nach eng Kéier hanneschtgoen , fir hinne Bescheed ze soen ",HANNESCHTGOEN1UNI1,,,in Gedanken oder Worten zu etwas zurückkehren,0.6007606983184814,,,in Gedanken oder Worten zu etwas zurückkehren,de,0.6007606983184814,Zréckgoen oder op eng virdru Plaz oder Situatioun zeréckkommen.
hausen,VRB,to doss down,,hausen,wohnen,crécher,habiter,si hausen zu fënnef an engem klenge Chalet beim Bësch ,HAUSEN1UNI1,,,wohnen und essen in oder an einem Ort,0.7027725577354431,,,wohnen und essen in oder an einem Ort,de,0.7027725577354431,"E klengt Duerf oder eng Uertschaft, meeschtens am ländleche Raum."
heelen,VRB,to heal,,heilen,,guérir,,"et gëtt keng Medezin, déi alles heelt ",HEELEN2UNI1,heal or recover,0.6212884187698364,,,,,heal or recover,en,0.6212884187698364,Eppes oder een nees gesond maachen; eng Wonn oder Krankheet ausheelen.
Heemrees,SUBST,journey home,,Heimreise,,retour,,eis Heemrees huet zwee Deeg gedauert ,HEEMREES1UNI1,,,,,a coming to or returning home,0.6425374150276184,a coming to or returning home,fr,0.6425374150276184,D’Zréckrees an d’Heemecht; d’Heemfahrt.
Heescheleit,SUBST,beggars,,Bettler,,mendiants,personnes,d'Geschäftsleit hu sech bei der Gemeng iwwer déi vill Heescheleit an der Foussgängerzon beklot ,HEESCHELEIT1UNI1,a pauper who lives by begging,0.6438373923301697,,,,,a pauper who lives by begging,en,0.6438373923301697,"Persoun, déi sech gären an d’Affäre vun anere mëscht, iwwerall noguckt a gären tratscht oder Neiegkeeten ausspionéiert."
Heizung,SUBST,(central) heating,,Heizung,,chauffage (central),,gëschter ass bei eis um Büro d'Heizung ausgefall ,HEIZUNG1UNI1,,,Dienstprogramm zur Beheizung eines Gebäudes,0.6051984429359436,,,Dienstprogramm zur Beheizung eines Gebäudes,de,0.6051984429359436,"Apparat oder Installatioun, déi e Raum oder e Gebai waarm mécht, andeems se Hëtzt produzéiert a verdeelt."
Hëllefsmëttel,SUBST,aid,resource,Hilfsmittel,bei einer Aufgabe,aide,ressource,an dësem Examen ass just en eesproochegen Dictionnaire als Hëllefsmëttel zougelooss ,HELLEFSMETTEL1UNI1,a resource,0.8456145524978638,,,,,a resource,en,0.8456145524978638,"E Mëttel oder Instrument, dat benotzt gëtt, fir eng Aufgab ze vereinfachen, Hëllef ze leeschten oder e bestëmmte Problem ze léisen."
Helm,SUBST,helmet,,Helm,Kopfbedeckung,casque,,"et ass verbueden, ouni Helm mam Moto ze fueren ",HELM1UNI1,armor plate that protects the head,0.6092910170555115,"eine schützende Kopfbedeckung aus hartem Material, die Schlägen standhält",0.6919897794723511,a protective helmet for the head,0.7893264889717102,armor plate that protects the head,en,0.6092910170555115,"Schutzkapp fir de Kapp, meeschtens aus haardem Material, déi bei Gefor oder beim Sport gedroe gëtt, fir de Kapp géint Schléi a Verletzungen ze schützen."
Hemmung,SUBST,inhibition,,Hemmung,Zurückhaltung,retenue,,"wann hie virun engem Buffet steet, kennt e keng Hemmunge méi ",HEMMUNG1UNI2,the quality of being inhibited,0.6553283333778381,,,,,the quality of being inhibited,en,0.6553283333778381,"Zeréckhalung oder Inhibitioun, déi een dovun ofhält, eppes ze maachen oder fräi ze handelen; och eng Bremsung vun engem Prozess oder enger Entwécklung."
Hinduismus,SUBST,Hinduism,,Hinduismus,,hindouisme,,en indesche Reliounswëssenschaftler huet eis d'Grondlage vum Hinduismus erkläert ,HINDUISMUS1UNI1,"the religion of most people in India, Bangladesh, Sri Lanka, and Nepal",0.6449047923088074,,,"the religion of most people in India, Bangladesh, Sri Lanka, and Nepal",0.6449047923088074,"the religion of most people in India, Bangladesh, Sri Lanka, and Nepal",en,0.6449047923088074,"Relioun a philosophescht Gedankesystem aus Indien, dat op verschidde Gëtter, Ritualer a Léieren opbaut an Konzepter wéi Karma, Reinkarnatioun an d’Befreiung (Moksha) ëmfaasst."
Hippercher,SUBST,squatting,,in der Hocke,,en position accroupie,,"d'Kanner souzen op den Hippercher , fir am Sand ze spillen ",HIPPERCHER1UNI1,exercising by repeatedly assuming a crouching position with the knees bent; strengthens the leg muscles,0.7001347541809082,,,,,exercising by repeatedly assuming a crouching position with the knees bent; strengthens the leg muscles,en,0.7001347541809082,"Klengt, liicht hoppelnd Insekt (wéi eng Grille oder e Sprénger), dat sech duerch kuerz Spréng fortbeweegt."
Hockey,SUBST,hockey,,Hockey,,hockey,,am Hockey huet de Golkipp eng extra Ausrüstung ,HOCKEY1UNI1,a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks,0.6045002937316895,,,,,a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks,en,0.6045002937316895,"Englesche Sport, bei deem zwou Équipen mat Stécker e klenge Ball oder eng Scheif (Puck) an de Géigner säi Goal ze schéissen versichen; gëtt op Äis (Äishockey) oder um Terrain (Feldhockey) gespillt."
Hoerbiischt,SUBST,hairbrush,,Haarbürste,,brosse à cheveux,,ech hu meng Hoerbiischt an der Schwämm leie gelooss ,HOERBIISCHT1UNI1,a brush used to groom a person's hair,0.7691311836242676,,,,,a brush used to groom a person's hair,en,0.7691311836242676,Eng Biischt fir d’Hoer ze kämmen an ze fleegen.
Hotelier,SUBST,hotelier,,Hotelier,,hôtelier,,d'Hoteliere bereede sech elo schonn op déi nächst Touristesaison vir ,HOTELIER1UNI1,an owner or manager of hotels,0.711768388748169,Eigentümer oder Verwalter von Hotels,0.6117806434631348,an owner or manager of hotels,0.7117683291435242,an owner or manager of hotels,en,0.711768388748169,"Persoun, déi en Hotel besëtzt oder féiert an dofir suergt, datt d’Gäscht ënnerbruecht a versuergt ginn."
Hygiène,SUBST,hygiene,,Hygiene,,hygiène,,eng gutt Hygiène ka Krankheete verhënneren ,HYGIENE1UNI1,,,Sorgfalt beim Sauberhalten,0.6792776584625244,,,Sorgfalt beim Sauberhalten,de,0.6792776584625244,"Moossnamen a Gewunnechten, fir de Kierper an d’Ëmwelt propper ze halen an esou Krankheeten ze verhënneren."
ibeeresch,ADJ,Iberian,,iberisch,,ibérique,,eise Restaurant proposéiert e Choix vun ibeeresche Spezialitéiten ,IBEERESCH1UNI1,of or relating to the Iberian Peninsula or its inhabitants,0.6652216911315918,,,of or relating to the Iberian Peninsula or its inhabitants,0.6652216911315918,of or relating to the Iberian Peninsula or its inhabitants,en,0.6652216911315918,Adjektiv: op d’Iberesch Hallefinsel bezunn; aus Spuenien oder Portugal stammend.
Idealist,SUBST,idealist,,Idealist,,idéaliste,,"et muss een Idealist sinn, fir ënner esou Konditiounen ze schaffen ",IDEALIST1UNI1,someone guided more by ideals than by practical considerations,0.6020504832267761,,,someone guided more by ideals than by practical considerations,0.6020504832267761,someone guided more by ideals than by practical considerations,en,0.6020504832267761,"Persoun, déi sech staark un Idealer a Prinzipie orientéiert, un dat Gutt a Perfekt gleeft a sech dacks eng besser Welt virstellt, heiansdo och ouni vill Récksiicht op d’Realitéit."
Ierger,SUBST,anger,,Ärger,Unmut,colère,"irritation, mécontentement",hien huet säi ganzen Ierger u senger Fra ausgelooss ,IERGER1UNI1,the state of being angry,0.6273632645606995,eine wütende Störung,0.6215052604675293,,,the state of being angry,en,0.6273632645606995,"Gefill vu Roserei oder Onzefriddenheet, dat entsteet, wann een sech gestéiert, benodeelegt oder ongerecht behandelt fillt."
Implantatioun,SUBST,implantation,,Implantation,,implantation,opération chirurgicale,d'Implantatioun vun engem Herzschrittmacher ass haut eng gängeg Operatioun ,IMPLANTATIOUN1UNI2,,,"ein chirurgischer Eingriff, bei dem etwas in den menschlichen Körper eingebracht wird",0.6034127473831177,,,"ein chirurgischer Eingriff, bei dem etwas in den menschlichen Körper eingebracht wird",de,0.6034127473831177,"Medizinesch Prozedur, bei där en Implantat oder en Embryo an de Kierper, meeschtens an e Gewëss oder an d’Gebärmutter, agesat gëtt, fir eng Behandlung oder eng Schwangerschaft z’erméiglechen."
indexéieren,VRB,to link to the cost-of-living index,,indexieren,,indexer,,dës Primm gëtt net indexéiert ,INDEXEIEREN1UNI2,,,Anpassung durch Indexierung,0.6720412373542786,,,Anpassung durch Indexierung,de,0.6720412373542786,"Donnéeën oder Informatiounen no bestëmmte Critèren erfaassen, ordnen a mat Schlësselwierder oder Referenzen versinn, fir se méi séier erëmzefannen (z. B. an engem Register, Archiv oder an enger Sichmaschinn)."
Indoeuropäesch,SUBST,Indo-European,,Indogermanisch,,indo-européen,,"d'Indoeuropäescht ass eng Sproochefamill, zu där och d'Lëtzebuergescht gehéiert ",INDOEUROPAESCH2UNI1,a member of the prehistoric people who spoke Proto-Indo European,0.7058141827583313,,,,,a member of the prehistoric people who spoke Proto-Indo European,en,0.7058141827583313,Zu der indoeuropäescher Sproochefamill gehéierend; d’Indoeuropäesch Sproochfamill betreffend.
industrialiséieren,VRB,to industrialize,,industrialisieren,Industrien ansiedeln in,industrialiser,équiper d'industries,an eisem Land si verschidde Regioune spéit industrialiséiert ginn ,INDUSTRIALISEIEREN1UNI1,develop industry; become industrial,0.6341143846511841,,,develop industry; become industrial,0.6341142654418945,develop industry; become industrial,en,0.6341143846511841,"Eppes oder eng Regioun duerch d’Aféierung vun Industrie, Maschinnen a moderner Produktioun op eng industriell Produktioun ëmstellen an entwéckelen."
intern,ADJ,internal,,intern,im inneren Kreis,interne,non public,déi lescht Virschléi vum President hu fir intern Diskussioune gesuergt ,INTERN1UNI1,,,innerhalb des Landes,0.6219024658203125,,,innerhalb des Landes,de,0.6219024658203125,"Op d’Bannenzäit oder am Kader vun enger Organisatioun, Institutioun oder Grupp stattfindend; net fir d’Ëffentlechkeet bestëmmt."
Invité,SUBST,guest,,eingeladener Gast,,invité,,d'Hallschent vun den Invitéen ass ze spéit op d'Feier komm ,INVITE1UNI1,,,,,a guest entertained in your house,0.6260599493980408,a guest entertained in your house,fr,0.6260599493980408,"Persoun, déi op eng Manifestatioun, Reunioun oder Feier offiziell agelueden ass; Gaascht."
iwwerdimensionéiert,ADJ,oversized,excessively large,überdimensioniert,,surdimensionné,,de geplangte Kinoskomplex ass iwwerdimensionéiert ,IWWERDIMENSIONEIERT1UNI1,larger than normal for its kind,0.6984874606132507,,,larger than normal for its kind,0.6984874606132507,larger than normal for its kind,en,0.6984874606132507,Ze grouss oder ze staark dimensionéiert am Verglach zum tatsächleche Besoin; onnéideg iwwerproportionéiert.
iwwerféieren,VRB,to convict,to prove guilty,überführen,Schuld nachweisen,convaincre,prouver la culpabilité de,d'Police huet de Verbriecher iwwerféiert ,IWWERFEIEREN1UNI2,find or declare guilty,0.65232253074646,,,,,find or declare guilty,en,0.65232253074646,Eng Persoun duerch Beweiser oder Argumenter als schëlleg iwwerféieren; hir Schold noweisen an se veruerteele loossen.
iwwerwannen,VRB,to overcome,,überwinden,"meistern, verkraften",surmonter,venir à bout de,du muss deng Angscht iwwerwannen ! ,IWWERWANNEN1UNI1,"overcome, as with emotions or perceptual stimuli",0.6682769656181335,,,,,"overcome, as with emotions or perceptual stimuli",en,0.6682769656181335,"Eng Schwieregkeet, Angscht oder en Hindernis erfollegräich meeschteren an hannert sech loossen."
Kameramann,SUBST,cameraman,,Kameramann,,cadreur,,de Kameramann huet d'Zeen vun uewe gefilmt ,KAMERAMANN1UNI1,a photographer who operates a movie camera,0.7133277058601379,,,,,a photographer who operates a movie camera,en,0.7133277058601379,"Persoun, déi eng Kamera bedéngt a Film- oder Videoopnamen mécht, besonnesch bei Reportagen, Dokumentairen oder Filmproduktiounen."
