lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr	wn_definition	definition_language	confidence	lux_definition
anhuelen	VRB	to conquer		einnehmen		prendre		d'Festung Lëtzebuerg war schwéier anzehuelen 	ANHUELEN1UNI4	overcome by conquest	0.7543632984161377					overcome by conquest	English	0.7543632984161377	duerch eng Eroberung besiegt an ënnerworf
Animatiounsfilm	SUBST	cartoon (film)		Animationsfilm		film d'animation		um Festival huet de Kënschtler mat sengen Animatiounsfilmer eng ganz Rei Präisser gewonnen 	ANIMATIOUNSFILM1UNI1			ein Film, der durch Fotografieren einer Reihe von Zeichentrickfilmen hergestellt wird, um die Illusion von Bewegung zu erzeugen, wenn sie in schneller Folge projiziert werden	0.6300995945930481			ein Film, der durch Fotografieren einer Reihe von Zeichentrickfilmen hergestellt wird, um die Illusion von Bewegung zu erzeugen, wenn sie in schneller Folge projiziert werden	German	0.6300995945930481	e Film, deen entsteet, andeems eng Rei vu gezeechente Biller eenzel ofgelicht ginn, fir d’Illusioun vu Beweegung ze schafen, wann se séier hannereneen ofgespillt ginn
animéieren	VRB	to motivate		animieren		animer		mir hoffen, datt d'Moossnam d'Leit derzou animéiere kann, eppes un hirem Verhalen ze änneren 	ANIMEIEREN1UNI1	give an incentive for action	0.6002293825149536					give an incentive for action	English	0.6002293825149536	en Ureiz ginn, fir ze handelen
Änlechkeet	SUBST	similarity		Ähnlichkeit		ressemblance		d'Änlechkeet tëschent deenen zwou Schwësteren ass frappant 	ANLECHKEET1UNI1	the quality of being similar	0.7879127264022827			similarity in appearance or external or superficial details	0.6958742737770081	the quality of being similar	English	0.7879127264022827	d’Eegenschaft, sech ze gläichen
änneren	VRB	to change	to alter	verändern		changer	modifier	deen Text ass schonn zweemol geännert ginn 	ANNEREN1UNI1	cause to change; make different; cause a transformation	0.6348236799240112	eine Veränderung herbeiführen; anders machen; eine Umwandlung bewirken	0.758751392364502			cause to change; make different; cause a transformation	English	0.6348236799240112	eppes dozou bréngen, sech ze veränneren; et anescht maachen; eng Ëmwandlung ausléisen
änneren	VRB	to change	to vary, to alter	ändern		changer		eis Cheffin ännert opfälleg dacks hir Meenung 	ANNEREN1UNI2	cause to change; make different; cause a transformation	0.6221590042114258	Änderungen vorzunehmen an	0.7736963629722595			cause to change; make different; cause a transformation	English	0.6221590042114258	eppes dozou bréngen, sech ze veränneren; et anescht maachen; eng Ëmwandlung ausléisen
änneren	VRB	to change	to become different	sich ändern		changer	devenir différent	rechen net dermat, datt dee Knouterer sech nach jee eng Kéier ännert ! 	ANNEREN1UNI3	become different in some particular way, without permanently losing one's or its former characteristics or essence	0.6923230290412903					become different in some particular way, without permanently losing one's or its former characteristics or essence	English	0.6923230290412903	an enger bestëmmter Hisiicht anescht ginn, ouni dobäi seng oder hir fréier Eegenschafte oder säi Wiesen dauerhaft ze verléieren
änneren	VRB	to change	to become different	sich ändern		changer	devenir différent	rechen net dermat, datt dee Knouterer nach jee eng Kéier ännert ! 	ANNEREN1UNI4	become different in some particular way, without permanently losing one's or its former characteristics or essence	0.6923230290412903					become different in some particular way, without permanently losing one's or its former characteristics or essence	English	0.6923230290412903	an enger bestëmmter Hisiicht anescht ginn, ouni dobäi seng oder hir fréier Eegenschafte oder säi Wiesen dauerhaft ze verléieren
Ännerung	SUBST	change	modification, alteration	Änderung		changement		d'Deputéiert hunn eng Ännerung vum Gesetzestext virgeschloen 	ANNERUNG1UNI1	the result of alteration or modification	0.8138488531112671					the result of alteration or modification	English	0.8138488531112671	d’Resultat vun engem Ëmgestalten oder Upassen
Anniversaire	SUBST	anniversary		Jubiläum		anniversaire	cérémonie	eis Chorale feiert dëst Joer hire fofzegsten Anniversaire 	ANNIVERSAIRE1UNI1			ein besonderer Jahrestag (oder die Feier desselben)	0.7216863632202148			ein besonderer Jahrestag (oder die Feier desselben)	German	0.7216863632202148	e besonnesche Joresdag (oder d’Feier dovun)
annoncéieren	VRB	to announce		ankündigen		annoncer	un événement à venir	d'Regierung huet eng Reform annoncéiert 	ANNONCEIEREN1UNI1	announce publicly or officially	0.6840318441390991					announce publicly or officially	English	0.6840318441390991	eppes ëffentlech oder offiziell bekannt ginn
annuléieren	VRB	to quash		aufheben		annuler		d'Geriicht huet d'Urteel annuléiert 	ANNULEIEREN1UNI2			trennen oder entfernen	0.6883649826049805			trennen oder entfernen	German	0.6883649826049805	ausernee maachen oder ewechhuelen
Anomalie	SUBST	deformity		Anomalie		anomalie	malformation	d'Kand ass mat enger Anomalie op d'Welt komm 	ANOMALIE1UNI2	an affliction in which some part of the body is misshapen or malformed	0.6094691753387451					an affliction in which some part of the body is misshapen or malformed	English	0.6094691753387451	eng Krankheet, bei där en Deel vum Kierper verformt oder falsch ausgebilt ass
Anonymitéit	SUBST	anonymity		Anonymität		anonymat		e Pseudonym garantéiert dem Auteur seng Anonymitéit 	ANONYMITEIT1UNI1	the state of being anonymous	0.7685689926147461			the state of being anonymous	0.7685689926147461	the state of being anonymous	English	0.7685689926147461	den Zoustand, wou een net identifizéierbar ass
Anorexie	SUBST	anorexia	loss of appetite	Anorexie		anorexie	inappétence	am Fall vun Anorexie huet de Patient keen Hongergefill a keen Appetit 	ANOREXIE1UNI1	a prolonged disorder of eating due to loss of appetite	0.732785165309906			a prolonged disorder of eating due to loss of appetite	0.732785165309906	a prolonged disorder of eating due to loss of appetite	English	0.732785165309906	eng laang unhalend Stéierung vum Iessverhalen wéinst engem Verloscht vum Hongergefill
Anorexie	SUBST	anorexia (nervosa)	mental illness	Magersucht		anorexie (mentale)		ech wollt mer laang Zäit net agestoen, datt ech Anorexie hätt 	ANOREXIE1UNI2			(Psychiatrie) eine psychische Störung, die durch somatische Wahnvorstellungen gekennzeichnet ist, man sei zu dick, obwohl man abgemagert ist	0.6033660173416138			(Psychiatrie) eine psychische Störung, die durch somatische Wahnvorstellungen gekennzeichnet ist, man sei zu dick, obwohl man abgemagert ist	German	0.6033660173416138	(Psychiatrie) eng psychesch Stéierung, déi duerch kierperbezunne Wahnvirstellunge charakteriséiert ass, datt een ze déck wier, obwuel een staark ofgemagert ass
Anstalt	SUBST	asylum	mental hospital	Anstalt		clinique psychiatrique		an der Anstalt gëtt hien all Dag vun enger Psychologin betreit 	ANSTALT1UNI2	a hospital for mentally incompetent or unbalanced person	0.7524116039276123					a hospital for mentally incompetent or unbalanced person	English	0.7524116039276123	e Spidol fir geeschteg net zourechnungsfäeg oder aus dem Gläichgewiicht gerode Persounen
Anstand	SUBST	propriety		Anstand	Schicklichkeit	bienséance		den Anstand verlaangt, datt s de haut eng Krawatt undees 	ANSTAND1UNI1					propriety in manners and conduct	0.6251336336135864	propriety in manners and conduct	English	0.6251336336135864	Ustännegkeet am Ëmgang a Verhalen
antarktesch	ADJ	Antarctic		antarktisch		antarctique		schmëlzt dat antarktescht Äis duerch de Klimawandel? 	ANTARKTESCH1UNI1	at or near the south pole	0.6346520185470581			at or near the south pole	0.6346520185470581	at or near the south pole	English	0.6346520185470581	um oder no beim Südpol
Antibabypëll	SUBST	contraceptive pill		Antibabypille		pilule (contraceptive)		et gëtt Fraen, déi trotz Antibabypëll schwanger ginn 	ANTIBABYPELL1UNI1			ein Verhütungsmittel in Form einer Pille, die Östrogen und Gestagen enthält, um den Eisprung zu hemmen und so eine Empfängnis zu verhindern	0.6396979093551636			ein Verhütungsmittel in Form einer Pille, die Östrogen und Gestagen enthält, um den Eisprung zu hemmen und so eine Empfängnis zu verhindern	German	0.6396979093551636	e Verhënnerungsmëttel a Form vun enger Tablett, déi Östrogen a Gestagen enthält, fir den Eesprong ze hemmen an esou eng Befruchtung ze verhënneren
Antigel	SUBST	antifreeze		Frostschutzmittel		antigel		hien huet wéinst dem Frascht Antigel a säi Killwaasser geschott 	ANTIGEL1UNI1	a liquid added to the water in a cooling system to lower its freezing point	0.6366958618164062					a liquid added to the water in a cooling system to lower its freezing point	English	0.6366958618164062	eng Flëssegkeet, déi dem Waasser an engem Ofkill-System bäigesat gëtt, fir datt et eréischt bei méi niddreger Temperatur afréiert
Antiguaner	SUBST	Antiguan		Antiguaner		Antiguais		mäi beschte Frënd ass Antiguaner 	ANTIGUANER1UNI1	a native or inhabitant of Antigua	0.7827877998352051					a native or inhabitant of Antigua	English	0.7827877998352051	eng Persoun, déi vun Antigua kënnt oder do wunnt
antiguanesch	ADJ	Antiguan		antiguanisch		antiguais-barbudien		op eiser Rees hu mir déi antiguanesch Kultur kenne geléiert 	ANTIGUANESCH1UNI1	of or relating to or characteristic of Antigua or its people	0.6197146773338318					of or relating to or characteristic of Antigua or its people	English	0.6197146773338318	vun Antigua oder senge Leit, oder dofir typesch
antik	ADJ	ancient	very old	antik	aus der Antike stammend	antique	appartenant à l'Antiquité	d'Archeologe sinn op d'Ruine vun engem anticken Theater aus der Réimerzäit gestouss 	ANTIK1UNI2	very old	1.0					very old	English	1.0	ganz al
Antipathie	SUBST	aversion		Antipathie		antipathie		hien huet eng gewëssen Antipathie fir seng nei Noperen 	ANTIPATHIE1UNI1					the object of a feeling of intense aversion; something to be avoided	0.6768238544464111	the object of a feeling of intense aversion; something to be avoided	English	0.6768238544464111	d’Zil vun engem Gefill vu staarker Ofneigung; eppes, wat ee léiwer meit
Antiquaire	SUBST	antique dealer		Antiquitätenhändler		antiquaire		ech hu gëschter beim Antiquaire e schéine Schaf gesinn 	ANTIQUAIRE1UNI1					an expert or collector of antiquities	0.6030173897743225	an expert or collector of antiquities	English	0.6030173897743225	en Expert oder Sammler vu Saachen aus fréieren Zäiten
Antisemitismus	SUBST	anti-Semitism		Antisemitismus		antisémitisme		am Zweete Weltkrich huet den Antisemitismus zu schlëmme Verbrieche geféiert 	ANTISEMITISMUS1UNI1	the intense dislike for and prejudice against Jewish people	0.7808077335357666			the intense dislike for and prejudice against Jewish people	0.7808077335357666	the intense dislike for and prejudice against Jewish people	English	0.7808077335357666	staark Ofneigung a Viruerteeler géintiwwer jiddesche Leit
Antisemitt	SUBST	anti-Semite		Antisemit		antisémite		um Kierfecht hunn Antisemitte jiddesch Griewer profanéiert 	ANTISEMITT1UNI1	someone who hates and would persecute Jews	0.6983805298805237			someone who hates and would persecute Jews	0.6983805298805237	someone who hates and would persecute Jews	English	0.6983805298805237	eng Persoun, déi Judde haasst a se géif verfollegen
antisemittesch	ADJ	anti-Semitic		antisemitisch		antisémite		den Auteur gouf wéinst sengen antisemitteschen Aussoe kritiséiert 	ANTISEMITTESCH1UNI1	relating to or characterized by anti-Semitism; hating Jews	0.7639968991279602	sich auf Antisemitismus beziehend oder dadurch gekennzeichnet; Juden hassend	0.6885626316070557	relating to or characterized by anti-Semitism; hating Jews	0.7639968991279602	relating to or characterized by anti-Semitism; hating Jews	English	0.7639968991279602	bezunn op oder gepräägt vun enger feindlecher Astellung géintiwwer Judden; Judden haassend
antrieden	VRB	to take place		eintreten		arriver		et sinn Evenementer agetrueden , déi mir net virausgesinn haten 	ANTRIEDEN1UNI1			hineingehen oder hineingehen	0.6896217465400696			hineingehen oder hineingehen	German	0.6896217465400696	eragoen oder eratrieden
anzeechnen	VRB	to draw in		einzeichnen		dessiner	faire figurer	den Architekt muss nach d'Trap a säin Entworf anzeechnen 	ANZEECHNEN1UNI1			wie mit einem Zeichen kennzeichnen	0.6405736207962036			wie mit einem Zeichen kennzeichnen	German	0.6405736207962036	wéi mat engem Zeechen markéieren
anzéien	VRB	to seize		einbehalten		saisir	garder provisoirement	d'Bank huet dem Client seng Kaart agezunn , well säi Kont iwwerzunn ass 	ANZEIEN1UNI7	seize and take control without authority and possibly with force; take as one's right or possession	0.7533600926399231			take hold of so as to seize or restrain or stop the motion of	0.6054078340530396	seize and take control without authority and possibly with force; take as one's right or possession	English	0.7533600926399231	eppes ouni Erlaabnis a sech huelen an d’Kontroll doriwwer iwwerhuelen, méiglecherweis mat Gewalt; eppes als säi Recht oder säi Besëtz fir sech behaapten
apaken	VRB	to wrap	to package	einpacken		emballer	empaqueter	ech loosse mer d'Vas als Kaddo apaken 	APAKEN1UNI1			mit einem Packen beladen	0.7320468425750732	put into a box	0.6114224195480347	mit einem Packen beladen	German	0.7320468425750732	mat engem Bëndel belueden
apaken	VRB	to pack it in	to stop	einpacken		arrêter	une activité	d'Geschäftsfra huet agepaakt 	APAKEN1UNI5			mit einem Packen beladen	0.7320468425750732			mit einem Packen beladen	German	0.7320468425750732	mat engem Bëndel belueden
apassen	VRB	to fit	to make the right size, to position	maßgerecht einfügen		ajuster	aux dimensions imposées	de Schräiner passt e Briet an de Schaf an 	APASSEN1UNI1	be the right size or shape; fit correctly or as desired	0.6678262948989868					be the right size or shape; fit correctly or as desired	English	0.6678262948989868	déi richteg Gréisst oder Form hunn; korrekt oder wéi gewënscht passen
apathesch	ADJ	apathetic		apathisch		apathique		duerch seng Demenz ass hien an engem ganz apatheschen Zoustand 	APATHESCH1UNI1					slow and apathetic	0.6862379908561707	slow and apathetic	English	0.6862379908561707	lues a gläichgëlteg
Apdikt	SUBST	chemist's		Apotheke		pharmacie	magasin	wat fir eng Apdikt huet haut den Owend Déngscht? 	APDIKT1UNI1			ein Einzelhandelsgeschäft, in dem Arzneimittel und andere Artikel verkauft werden	0.6804642677307129			ein Einzelhandelsgeschäft, in dem Arzneimittel und andere Artikel verkauft werden	German	0.6804642677307129	e Geschäft am Detailhandel, an deem Medikamenter an aner Saache verkaaft ginn
Apdikter	SUBST	chemist		Apotheker		pharmacien		den Apdikter schafft am Laboratoire un engem cheemesche Preparat 	APDIKTER1UNI1	a scientist who specializes in chemistry	0.7737717628479004					a scientist who specializes in chemistry	English	0.7737717628479004	e Wëssenschaftler, dee sech op Chimie spezialiséiert
Aperhoer	SUBST	eyebrow		Augenbraue		sourcil		dee Politiker huet dach esou déck, zesummegewuessen Aperhoer 	APERHOER1UNI1	the arch of hair above each eye	0.630258321762085					the arch of hair above each eye	English	0.630258321762085	de Bou vun Hoer iwwer all A
Aphasie	SUBST	aphasia		Aphasie	Sprachstörung	aphasie		eng Aphasie ass eng Stéierung vun der Sprooch, déi duerch e Schued am Gehier kann entstoen 	APHASIE1UNI1			eine Störung der mündlichen Sprache	0.8243054151535034			eine Störung der mündlichen Sprache	German	0.8243054151535034	eng Stéierung vun der geschwatener Sprooch
aplangen	VRB	to foresee		einplanen		prévoir	à l'avance	dee Mëssel hate mer nu wierklech net (mat) ageplangt ! 	APLANGEN1UNI1			sich etwas vorstellen oder im Voraus überlegen	0.6336910724639893			sich etwas vorstellen oder im Voraus überlegen	German	0.6336910724639893	sech eppes virstellen oder am Viraus driwwer nodenken
Apostel	SUBST	Apostle	follower of Jesus Christ	Apostel	Jünger Jesu	apôtre	disciple de Jésus	an der Bibel geet rieds vun zwielef Apostelen 	APOSTEL1UNI1	(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel	0.6098195314407349	(Neues Testament) einer der ursprünglichen 12 Jünger, die von Christus ausgewählt wurden, um sein Evangelium zu verkünden	0.6391739249229431			(New Testament) one of the original 12 disciples chosen by Christ to preach his gospel	English	0.6098195314407349	(Neit Testament) ee vun den ursprénglechen 12 Jünger, déi vu Christus erausgesicht goufen, fir säi Evangelium ze verkënnegen
apostoulesch	ADJ	apostolic	relating to the Apostles	apostolisch	von den Aposteln ausgehend	apostolique	venant des apôtres	mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen 	APOSTOULESCH1UNI1	of or relating to or deriving from the Apostles or their teachings	0.8467026352882385			of or relating to or deriving from the Apostles or their teachings	0.8467026352882385	of or relating to or deriving from the Apostles or their teachings	English	0.8467026352882385	vun oder am Zesummenhang mat de Jünger vum Jesus oder hire Léieren, oder dovunner ofgeleet
apostoulesch	ADJ	apostolic	relating to the Pope	apostolisch	päpstlich	apostolique	émanant, dépendant du Saint-Siège	de Poopst huet en apostoulescht Schreiwes publizéiert 	APOSTOULESCH1UNI2	proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	0.6754508018493652			proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	0.6754508018493652	proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	English	0.6754508018493652	vum Poopstamt ausgoend oder vun him uerdent oder senger Autoritéit ënnerstallt, ugesinn als Nofolger vun den Apostelen
Appartement	SUBST	flat		Wohnung		appartement		mir wunnen an engem Appartement 	APPARTEMENT1UNI1			Räume, in denen man wohnen kann.	0.6484560370445251			Räume, in denen man wohnen kann.	German	0.6484560370445251	Raim, an deenen een wunne kann.
Äppelkompott	SUBST	stewed apple		Apfelmus		compote de pommes		den Äppelkompott däerf bei enger gudder Träip net feelen! 	APPELKOMPOTT1UNI1					puree of stewed apples usually sweetened and spiced	0.7066571712493896	puree of stewed apples usually sweetened and spiced	English	0.7066571712493896	Püree aus gekachten Äppel, meeschtens geséisst a mat Gewierzer verfeinert
Äppelmous	SUBST	apple purée		Apfelmus		compote de pommes		vill Leit hu gären e bësse Kanéil am Äppelmous 	APPELMOUS1UNI1					puree of stewed apples usually sweetened and spiced	0.7869559526443481	puree of stewed apples usually sweetened and spiced	English	0.7869559526443481	Püree aus gekachten Äppel, meeschtens geséisst a mat Gewierzer ofgeschmaacht
Appersmann	SUBST	labourer		Handlanger	ungelernter Hilfsarbeiter	manœuvre	ouvrier non qualifié	e Steemetzer hat dacks en Appersmann bei sech, fir em ze hëllefen 	APPERSMANN1UNI1	someone who works with their hands; someone engaged in manual labor	0.6134507656097412			someone who works with their hands; someone engaged in manual labor	0.6134505867958069	someone who works with their hands; someone engaged in manual labor	English	0.6134507656097412	eng Persoun, déi mat den Hänn schafft; eng Persoun, déi kierperlech Aarbecht mécht
appetitlech	ADJ	appetizing		appetitlich		appétissant		dee Bifdeck ass nawell en appetitleche Maufel! 	APPETITLECH1UNI1			den Appetit ansprechend oder anregend, insbesondere durch Aussehen oder Geruch	0.6692354083061218			den Appetit ansprechend oder anregend, insbesondere durch Aussehen oder Geruch	German	0.6692354083061218	den Honger uspriechend oder ureegend, besonnesch duerch d’Ausgesinn oder de Geroch
Applikatioun	SUBST	application		Anwendung		application		d'Applikatioun vun de Mesurë léisst op sech waarden 	APPLIKATIOUN1UNI1			die Arbeit, etwas anzuwenden	0.6071995496749878			die Arbeit, etwas anzuwenden	German	0.6071995496749878	d’Aarbecht, eppes unzewenden
Applikatioun	SUBST	app		Anwendung		application	logiciel	endlech gëtt et eng Applikatioun vum Lëtzebuerger Online Dictionnaire! 	APPLIKATIOUN1UNI2			die Arbeit, etwas anzuwenden	0.6071995496749878			die Arbeit, etwas anzuwenden	German	0.6071995496749878	d’Aarbecht, eppes unzewenden
Applikatioun	SUBST	application		Fleiß		application		seng Applikatioun ass mat enger Primm belount ginn 	APPLIKATIOUN1UNI3			eine fleißige Bemühung	0.6121395826339722			eine fleißige Bemühung	German	0.6121395826339722	eng ustrengend Ustrengung
applizéieren	VRB	to apply	to implement	anwenden		appliquer	mettre en pratique	de Betrib huet dem Expert seng Virschléi net applizéiert 	APPLIZEIEREN1UNI1			sich einsetzen für	0.687929093837738			sich einsetzen für	German	0.687929093837738	sech engagéiere fir
appreciéieren	VRB	to appreciate		schätzen	achten	apprécier	estimer	dëse Professer gëtt vun de Studenten appreciéiert 	APPRECIEIEREN1UNI1	recognize with gratitude; be grateful for	0.6440078616142273					recognize with gratitude; be grateful for	English	0.6440078616142273	mat Dankbarkeet unerkennen; dankbar dofir sinn
aprogramméieren	VRB	to programme	to plan	einplanen		programmer		bei eisem Ausfluch hate mer d'Visitt vun der Kathedral aprogramméiert 	APROGRAMMEIEREN1UNI2			sich etwas vorstellen oder im Voraus überlegen	0.6336910724639893			sich etwas vorstellen oder im Voraus überlegen	German	0.6336910724639893	sech eppes virstellen oder am Viraus driwwer nodenken
Aquarell	SUBST	watercolour	painting	Aquarell		aquarelle	œuvre	mir waren eng Ausstellung mat Aquarelle vu bekannten englesche Moler kucken 	AQUARELL1UNI1	a painting produced with watercolors	0.6385831832885742			a painting produced with watercolors	0.6385830640792847	a painting produced with watercolors	English	0.6385831832885742	eng Molerei, déi mat Waasserfaarwe gemaach gëtt
Aquarium	SUBST	aquarium	fish tank	Aquarium	Glasbehälter	aquarium	cuve en verre	ech hu vill exotesch Fësch a mengem Aquarium 	AQUARIUM1UNI1	a tank or pool or bowl filled with water for keeping live fish and underwater animals	0.6503748297691345					a tank or pool or bowl filled with water for keeping live fish and underwater animals	English	0.6503748297691345	e Behälter, e Basseng oder eng Schossel, mat Waasser gefëllt, fir lieweg Fësch an Déieren, déi ënner Waasser liewen, ze halen
Ära	SUBST	era	period of history	Ära	Epoche, Zeitalter	ère	époque, période	dee Krich war eng däischter Ära vu Gewalt fir eist Land 	ARA1UNI2			eine geschichtliche Epoche mit bestimmten Merkmalen	0.6263725757598877			eine geschichtliche Epoche mit bestimmten Merkmalen	German	0.6263725757598877	eng geschichtlech Zäitperiod mat bestëmmte Charakteristiken
Araber	SUBST	Arab	horse	Araber	Pferd	cheval arabe		de Reider huet mat sengem Araber d'Goldmedail gewonnen 	ARABER1UNI2	a spirited graceful and intelligent riding horse native to Arabia	0.6504731178283691					a spirited graceful and intelligent riding horse native to Arabia	English	0.6504731178283691	e liewege, graziéisen an intelligente Reitpäerd, dat aus Arabien staamt
archaesch	ADJ	archaic	dated	archaisch	altertümlich, veraltet	archaïque	ancien, désuet	si huet heiansdo nach archaesch Iddien 	ARCHAESCH1UNI1			ansprechend altmodisch (aber nicht unbedingt authentisch)	0.6573753356933594			ansprechend altmodisch (aber nicht unbedingt authentisch)	German	0.6573753356933594	op eng agreabel Aart a Weis almodësch (awer net onbedéngt authentesch)
Archeolog	SUBST	archaeologist		Archäologe		archéologue		e Grupp vun Archeologen huet Spuere vun enger aler Zivilisatioun fonnt 	ARCHEOLOG1UNI1	an anthropologist who studies prehistoric people and their culture	0.6178262233734131	ein Experte oder Sammler von Altertümern	0.6485350728034973	an expert or collector of antiquities	0.6635062098503113	an anthropologist who studies prehistoric people and their culture	English	0.6178262233734131	en Anthropolog, deen d’Mënschen aus der Virgeschicht an hir Kultur ënnersicht
archeologesch	ADJ	archaeological		archäologisch		archéologique		bei archeologeschen Ausgruewunge si Reschter vun engem anticken Tempel fonnt ginn 	ARCHEOLOGESCH1UNI1	related to or dealing with or devoted to archaeology	0.6780866384506226			related to or dealing with or devoted to archaeology	0.6780866384506226	related to or dealing with or devoted to archaeology	English	0.6780866384506226	am Zesummenhang mat der Wëssenschaft, déi sech mat der Ënnersichung vu mënschleche Reschter a Spuere vun ale Kulturen beschäftegt, oder domat befaasst oder dozou gewidmet
Architekt	SUBST	architect		Architekt		architecte		et sinn zwee Architekten um Bauprojet bedeelegt 	ARCHITEKT1UNI1			jemand, der Pläne erstellt, um etwas zu bauen (z. B. Gebäude)	0.6040829420089722			jemand, der Pläne erstellt, um etwas zu bauen (z. B. Gebäude)	German	0.6040829420089722	eng Persoun, déi Pläng ausschafft, fir eppes ze bauen (z. B. Gebaier)
architektonesch	ADJ	architectural		architektonisch	baulich	architectural		um architektonesche Plang ass un dësem Bau näischt auszesetzen 	ARCHITEKTONESCH1UNI1	of or pertaining to the art and science of architecture	0.6065497398376465			of or pertaining to the art and science of architecture	0.6065497398376465	of or pertaining to the art and science of architecture	English	0.6065497398376465	wat d’Konscht an d’Wëssenschaft vum Gebaier-Entworf a -Bau betrëfft
Architektur	SUBST	architecture	design, style	Architektur	Gestaltung	architecture	aménagement	déi eegenaarteg Architektur vum Haus gefält net jidderengem 	ARCHITEKTUR1UNI2			die Disziplin, die sich mit den Grundsätzen des Entwurfs, der Konstruktion und der Ausschmückung schöner Gebäude befasst	0.6065720915794373			die Disziplin, die sich mit den Grundsätzen des Entwurfs, der Konstruktion und der Ausschmückung schöner Gebäude befasst	German	0.6065720915794373	d’Fachgebitt, dat sech mat de Grondsätz vum Plangen, dem Bau an der dekorativer Ausgestaltung vu schéine Gebaier beschäftegt
Archiv	SUBST	archive	collection of records or documents	Archiv	Sammlung	archives	collection	dëst Dokument fënnt ee sécher am nationalen Archiv 	ARCHIV1UNI2	a depository containing historical records and documents	0.7085220813751221			collection of records especially about an institution	0.7779356241226196	a depository containing historical records and documents	English	0.7085220813751221	eng Plaz, wou historesch Opzeechnungen an Dokumenter gesammelt a gelagert ginn
archivéieren	VRB	to archive		archivieren		archiver		an eiser Firma ginn d'Rechnungen all archivéiert 	ARCHIVEIEREN1UNI1	put into an archive	0.8377043008804321					put into an archive	English	0.8377043008804321	an en Archiv leeën
Archivist	SUBST	archivist		Archivar		archiviste		d'Gemeng huet en Archivist agestallt, fir déi al Dokumenter opzeschaffen 	ARCHIVIST1UNI1	a person in charge of collecting and cataloguing archives	0.7054538130760193	Person, die in einem Archiv arbeitet.	0.6488495469093323	a person in charge of collecting and cataloguing archives	0.7054538130760193	a person in charge of collecting and cataloguing archives	English	0.7054538130760193	eng Persoun, déi dofir zoustänneg ass, Dokumenter a Bestänn ze sammelen an ze verzeechnen
Archivistin	SUBST	archivist		Archivarin		archiviste	femme	d'Archivistin huet e Plang opgestallt, fir d'Archiv vum Service ze organiséieren 	ARCHIVISTIN1UNI1	a person in charge of collecting and cataloguing archives	0.7054538130760193			a person in charge of collecting and cataloguing archives	0.7054538130760193	a person in charge of collecting and cataloguing archives	English	0.7054538130760193	eng Persoun, déi dofir zoustänneg ass, Dokumenter a Sammlungsmaterial ze sammelen an ze verzeechnen
areien	VRB	to get into lane		sich einreihen		se mettre en file		wéinst dem Chantier musse sech d'Busse riets areien 	AREIEN2UNI1			eine Schlange bilden, eine Reihe bilden, in einer Reihe stehen	0.6052348613739014			eine Schlange bilden, eine Reihe bilden, in einer Reihe stehen	German	0.6052348613739014	eng Schlaang forméieren, eng Rei forméieren, an enger Rei stoen
arenken	VRB	to sort out	to resolve	bereinigen		arranger	remettre en ordre	hien huet probéiert, d'Saach anzerenken 	ARENKEN1UNI2			(Dinge oder Orte) in Ordnung bringen	0.6729875206947327			(Dinge oder Orte) in Ordnung bringen	German	0.6729875206947327	(Saachen oder Plazen) an Uerdnung bréngen
arëtzen	VRB	to carve	to engrave	einritzen		graver	un motif, des caractères	déi jonk Koppel huet en Häerz mat hiren Initialen an e Bam agerëtzt 	ARETZEN1UNI1	engrave or cut by chipping away at a surface	0.6097080707550049					engrave or cut by chipping away at a surface	English	0.6097080707550049	anduerch ewechschloen oder ewechchippen an eng Uewerfläch eran aschneiden oder afréissen
Argentinier	SUBST	Argentinian		Argentinier		Argentin		mäi beschte Frënd ass Argentinier 	ARGENTINIER1UNI1	a native or inhabitant of Argentina	0.635509729385376			a native or inhabitant of Argentina	0.6355096101760864	a native or inhabitant of Argentina	English	0.635509729385376	eng Persoun, déi aus Argentinien kënnt oder do wunnt
ariichten	VRB	to install		einrichten		installer		d'Elterevereenegung krut an der Schoul en eegene Büro ageriicht 	ARIICHTEN1UNI1			Etwas in eine Ordnung bringen.	0.6751648187637329			Etwas in eine Ordnung bringen.	German	0.6751648187637329	Eppes an eng Uerdnung bréngen.
Aristokrat	SUBST	aristocrat		Aristokrat	Adliger	aristocrate	membre de la noblesse	am Volleksmond heescht et, d'Aristokraten hätte blot Blutt 	ARISTOKRAT1UNI1	a member of the aristocracy	0.7631078958511353					a member of the aristocracy	English	0.7631078958511353	e Member vun der Adelsschicht
Aristokratie	SUBST	aristocracy		Aristokratie	Adel	aristocratie	noblesse	si interesséiert sech fir all Neiegkeeten aus der Welt vun der Aristokratie 	ARISTOKRATIE1UNI1	a privileged class holding hereditary titles	0.71492600440979			a privileged class holding hereditary titles	0.71492600440979	a privileged class holding hereditary titles	English	0.71492600440979	eng privilegéiert Gesellschaftsschicht, déi ierflech Éierentitelen huet
